Differentiable motif activity epsilon cells;names;scores;logfoldchanges;pvals;pvals_adj;Motif_ID;direct_TF;TF_name
18;M03031_2.00;15.210251;2.0309646;0;0.00000000000000000000000000000000000000000000000001;M03031_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
19;M04817_2.00;15.145772;2.1908295;0;0.00000000000000000000000000000000000000000000000002;M04817_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
20;M04818_2.00;15.122757;2.132656;0;0.00000000000000000000000000000000000000000000000003;M04818_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
21;M00164_2.00;15.110396;1.5614092;0;0.00000000000000000000000000000000000000000000000003;M00164_2.00;Foxl1;['Foxg1', 'Foxf2', 'Foxf1', 'Foxe3', 'Foxc2', 'Foxi1', 'Foxi2', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
22;M08199_2.00;15.10618;2.2013602;0;0.00000000000000000000000000000000000000000000000003;M08199_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
23;M01982_2.00;14.77587;1.6622308;0.00000000000000000000000000000000000000000000000021;0.00000000000000000000000000000000000000000000000422;M01982_2.00;Foxc1;['Foxg1', 'Foxp4', 'Foxf2', 'Foxk2', 'Foxf1', 'Foxc2', 'Foxi1', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
24;M09104_2.00;14.763386;2.0735106;0.00000000000000000000000000000000000000000000000025;0.00000000000000000000000000000000000000000000000505;M09104_2.00;Foxa2;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
25;M08028_2.00;14.584533;1.7409688;0.00000000000000000000000000000000000000000000000352;0.0000000000000000000000000000000000000000000000644;M08028_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
26;M00796_2.00;14.582415;1.6118479;0.00000000000000000000000000000000000000000000000363;0.0000000000000000000000000000000000000000000000651;M00796_2.00;Foxc2;['Foxg1', 'Foxp1', 'Foxj3', 'Foxf2', 'Foxk2', 'Foxf1', 'Foxc2', 'Foxi1', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
27;M04825_2.00;14.547553;1.7522181;0.00000000000000000000000000000000000000000000000605;0.000000000000000000000000000000000000000000000108;M04825_2.00;;['Foxj3', 'Foxk2', 'Foxi1', 'Foxk1']
28;M04852_2.00;14.435543;1.691804;0.0000000000000000000000000000000000000000000000309;0.000000000000000000000000000000000000000000000544;M04852_2.00;;['Foxg1', 'Foxj3', 'Foxf2', 'Foxf1', 'Foxe3', 'Foxc2', 'Foxi1', 'Foxi2', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
29;M03015_2.00;14.435173;1.6984402;0.0000000000000000000000000000000000000000000000311;0.000000000000000000000000000000000000000000000545;M03015_2.00;;['Foxg1', 'Foxp4', 'Foxf2', 'Foxk2', 'Foxf1', 'Foxc2', 'Foxi1', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
30;M04827_2.00;14.42742;1.679767;0.0000000000000000000000000000000000000000000000348;0.000000000000000000000000000000000000000000000608;M04827_2.00;;['Foxj2', 'Foxg1', 'Foxj3', 'Foxk2', 'Foxc2', 'Foxi1', 'Foxi2', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxk1', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
31;M00665_2.00;14.403089;1.6477505;0.0000000000000000000000000000000000000000000000495;0.000000000000000000000000000000000000000000000863;M00665_2.00;;['Foxb2', 'Foxb1']
32;M04828_2.00;14.274687;1.5220667;0.000000000000000000000000000000000000000000000315;0.00000000000000000000000000000000000000000000527;M04828_2.00;;['Foxj2', 'Foxg1', 'Foxj3', 'Foxk2', 'Foxc2', 'Foxi1', 'Foxi2', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxk1', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
33;M01984_2.00;14.160703;1.5417031;0.0000000000000000000000000000000000000000000016;0.0000000000000000000000000000000000000000000252;M01984_2.00;Gm5294;['Foxg1', 'Foxf2', 'Foxf1', 'Foxe3', 'Foxc2', 'Foxi1', 'Foxi2', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
34;M03743_2.00;14.073169;1.7725039;0.00000000000000000000000000000000000000000000555;0.000000000000000000000000000000000000000000087;M03743_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
35;M09542_2.00;14.0192;2.0593393;0.0000000000000000000000000000000000000000000119;0.000000000000000000000000000000000000000000185;M09542_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
36;M04820_2.00;13.914061;1.6559284;0.000000000000000000000000000000000000000000052;0.0000000000000000000000000000000000000000008;M04820_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
37;M04815_2.00;13.8900795;1.869489;0.0000000000000000000000000000000000000000000728;0.00000000000000000000000000000000000000000112;M04815_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
38;M03734_2.00;13.750036;1.629952;0.000000000000000000000000000000000000000000509;0.00000000000000000000000000000000000000000771;M03734_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
39;M04838_2.00;13.730806;1.7375302;0.000000000000000000000000000000000000000000664;0.00000000000000000000000000000000000000001;M04838_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
40;M04833_2.00;13.695081;1.693013;0.00000000000000000000000000000000000000000109;0.0000000000000000000000000000000000000000157;M04833_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1', 'Foxs1']
41;M03741_2.00;13.670586;1.3993498;0.00000000000000000000000000000000000000000152;0.0000000000000000000000000000000000000000219;M03741_2.00;;['Foxg1', 'Foxj3', 'Foxf2', 'Foxf1', 'Foxe3', 'Foxc2', 'Foxi1', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
