moscot driver TFs Epsilon;Unnamed: 0;Epsilon_pull_corr;Epsilon_pull_pval;Epsilon_pull_qval;Epsilon_pull_ci_low;Epsilon_pull_ci_high
1058;Rbm8a2;-0.0132902149031838;0.338684769701166;0.705794941542686;-0.0404958137840717;0.0139350750569391
1059;Bhlhe22;-0.0133160476733646;0.33774661888535;0.705390587160274;-0.0405216087288379;0.0139092427222003
1060;Maf;-0.0133731808753094;0.335677685437314;0.702040588656986;-0.0405786581451852;0.0138521103542317
1061;Ppara;-0.0133802225566862;0.335423254641281;0.702040588656986;-0.0405856894876879;0.0138450687633377
1062;Pgr;-0.013454671060061;0.332740870661717;0.699775368661829;-0.0406600285179989;0.0137706210513963
1063;Nr3c2;-0.0134608227003419;0.332519847705007;0.699775368661829;-0.040666171099107;0.0137644694630099
1064;Cpeb1;-0.0134704663914937;0.332173549281712;0.699775368661829;-0.0406758005844016;0.0137548258490633
1065;Utp18;-0.0134766294174088;0.331952361225989;0.699775368661829;-0.0406819545290852;0.0137486628698353
1066;Prdm6;-0.0135536325221238;0.329196779983935;0.697176911326427;-0.0407588439955664;0.0136716601740632
1067;Zbtb42;-0.0135545089447874;0.329165502437056;0.697176911326427;-0.0407597191229845;0.0136707837541955
1068;Zfp869;-0.0135655192090756;0.3287727349594;0.697176911326427;-0.0407707131118926;0.013659773521467
1069;Zbtb7b;-0.0135794414202838;0.328276525041949;0.697176911326427;-0.0407846147338479;0.0136458513407132
1070;Gabpb1;-0.0135813220537735;0.328209533495592;0.697176911326427;-0.0407864925853025;0.013643970710528
1071;Topors;-0.0136126648461362;0.327094351939287;0.697176911326427;-0.0408177889837466;0.0136126279448842
1072;Tfcp2;-0.0136219925584297;0.326762945916892;0.697176911326427;-0.0408271028787588;0.013603300230212
1073;Rfxank;-0.0136884427751635;0.324408335601316;0.694832037954593;-0.0408934545249685;0.0135368498594157
1074;Zfp874b;-0.0137450001421824;0.3224129917699;0.691539229506461;-0.0409499278072401;0.0134802921718284
1075;Tbp;-0.0137830124194586;0.321076425593007;0.689652066351979;-0.0409878834733829;0.0134422795812088
1076;Zfp219;-0.013804860489266;0.320309855890612;0.688985587457014;-0.0410096989696434;0.01342043129569
1077;Gm14326;-0.0138412652802584;0.31903520252565;0.687222761503183;-0.0410460494266827;0.013384026087516
1078;Zfp92;-0.0138431183451018;0.31897040942594;0.687222761503183;-0.0410478997239107;0.0133821729995069
1079;Irf9;-0.0138975001479995;0.317072764079869;0.685931051232956;-0.0411022002226479;0.0133277904334888
1080;Gpbp1l1;-0.0139096057980854;0.316651348349886;0.685931051232956;-0.04111428775217;0.0133156845916112
1081;Gm3055;-0.0139229785518061;0.316186250074259;0.685931051232956;-0.0411276404793827;0.0133023116167458
1082;Zfp385a;-0.0139595846957429;0.314915399106827;0.685931051232956;-0.0411641917536964;0.0132657048176345
1083;Dtl;-0.0139925633473152;0.313773360730164;0.685931051232956;-0.0411971209106128;0.0132327255133221
1084;Hivep1;-0.0140632799098398;0.311333666770176;0.682313260991243;-0.0412677311418569;0.0131620073514324
1085;Zfp968;-0.0140824051049371;0.310676009197405;0.681861589953607;-0.0412868275331259;0.0131428816769992
1086;Zfp97;-0.0141071064768604;0.309827960966815;0.680990132547149;-0.0413114916737117;0.0131181796565038
1087;Bclaf1;-0.0141127550427869;0.309634249147397;0.680990132547149;-0.0413171317211351;0.0131125309375972
1088;Zfp970;-0.0141136610303216;0.309603186671263;0.680990132547149;-0.0413180363422046;0.0131116249253639
1089;Klf5;-0.0141267017937;0.309156302112068;0.680990132547149;-0.041331057431773;0.0130985838015222
1090;Zfp423;-0.0141620482836226;0.307947182551034;0.680990132547149;-0.0413663505501195;0.013063236288003
1091;Gm13212;-0.0142311759142634;0.305591542379567;0.67859298381345;-0.0414353736050004;0.0129941064588321
1092;Zfp930;-0.0142683512857652;0.304329681634493;0.677784394200714;-0.0414724926305137;0.0129569297973918
1093;Pax1;-0.0143020118912747;0.303190111850449;0.676243824068209;-0.0415061021525173;0.0129232679589708
