moscot driver genes Fev+ delta;Fev_delta_pull_corr;Fev_delta_pull_pval;Fev_delta_pull_qval;Fev_delta_pull_ci_low;Fev_delta_pull_ci_high
Igfbpl1;0.130126875174432;0.00000000000000000000448;0.0000000000000000011;0.103272426214389;0.156791754077156
Jund;0.129757530146315;0.00000000000000000000579;0.0000000000000000014;0.102900730077302;0.15642527977962
Rpl37a;0.129348210106413;0.0000000000000000000077;0.00000000000000000182;0.102488813224619;0.156019132597591
Abca1;0.129140557301136;0.00000000000000000000889;0.00000000000000000208;0.102279846547946;0.155813085971725
Btg2;0.12878205398881;0.0000000000000000000114;0.00000000000000000263;0.1019190804746;0.155457350193582
Actb;0.128521434462356;0.0000000000000000000136;0.00000000000000000311;0.101656820434408;0.155198738225858
Kcnj5;0.128415060986329;0.0000000000000000000147;0.00000000000000000331;0.101549778445597;0.155093183096603
Rps3;0.127727625336101;0.0000000000000000000235;0.00000000000000000513;0.100858037549364;0.154411021301234
Celf3;0.12728457373929;0.0000000000000000000318;0.00000000000000000688;0.10041222499249;0.153971355216324
Mfap4;0.126839678173946;0.0000000000000000000431;0.00000000000000000921;0.0999645678337307;0.153529848618984
Dab1;0.126798649108893;0.0000000000000000000443;0.00000000000000000937;0.0999232846375426;0.153489131553919
Insrr;0.126525864604222;0.0000000000000000000533;0.0000000000000000112;0.0996488128775745;0.15321841909771
Ctsf;0.126154564014144;0.0000000000000000000685;0.0000000000000000142;0.0992752222527194;0.152849932437958
Rpl9;0.125215944897375;0.000000000000000000129;0.0000000000000000258;0.0983308478948133;0.151918393617718
Rfx6;0.124578164179474;0.000000000000000000197;0.0000000000000000389;0.0976891841864988;0.151285396809608
Rps14;0.123620039700389;0.000000000000000000373;0.0000000000000000701;0.0967252683896813;0.150334417925904
Runx1t1;0.123021743022776;0.000000000000000000554;0.000000000000000102;0.096123380935246;0.149740558209817
Myt1;0.122868107437577;0.000000000000000000613;0.000000000000000112;0.0959688264546485;0.149588058873558
Dbn1;0.122678190379383;0.000000000000000000694;0.000000000000000123;0.0957777752939734;0.149399544635645
Pclo;0.122277158000142;0.000000000000000000903;0.000000000000000159;0.0953743546340355;0.149001468095673
Tmem185a;0.122079654965021;0.00000000000000000103;0.00000000000000018;0.095175678650631;0.148805417588026
Trp53i13;0.121857701654173;0.00000000000000000119;0.000000000000000206;0.0949524097417958;0.148585094115895
Rps5;0.121810508332127;0.00000000000000000122;0.00000000000000021;0.0949049370367242;0.148538246999897
Spock2;0.121140085574337;0.00000000000000000189;0.000000000000000323;0.0942305586136152;0.147872729447286
Dner;0.120607513900961;0.00000000000000000267;0.000000000000000452;0.0936948622316562;0.147344037124652
Kcnq5;0.11961177021338;0.00000000000000000507;0.000000000000000835;0.092693318112325;0.146355505629716
Dock4;0.118373758580759;0.0000000000000000111;0.00000000000000179;0.0914481707410199;0.145126386451559
Cdk4;0.11836288425367;0.0000000000000000112;0.00000000000000179;0.0914372341087236;0.145115589867314
Igsf9;0.117363856960589;0.0000000000000000211;0.00000000000000329;0.0904325105287188;0.144123677649975
Rcor2;0.117030754754878;0.000000000000000026;0.00000000000000402;0.0900975212160888;0.143792935844815
Marcksl1;0.115575660589599;0.0000000000000000642;0.00000000000000956;0.0886342550330975;0.142348082539701
Lmna;0.114744428621984;0.000000000000000107;0.0000000000000157;0.0877984069321449;0.141522649522618
Rps8;0.114431556101298;0.00000000000000013;0.0000000000000186;0.0874838067450502;0.141211950058935
Upk3bl;0.114394036923012;0.000000000000000133;0.0000000000000189;0.0874460807486866;0.141174691115951
Lrrn3;0.114126139104748;0.000000000000000156;0.0000000000000222;0.0871767084357792;0.140908649248367
Rps9;0.114011087472028;0.000000000000000168;0.0000000000000236;0.0870610247749437;0.140794393486557
Ppp3ca;0.113840653756514;0.000000000000000186;0.000000000000026;0.0868896561295586;0.140625137436894
Nkx2-2;0.111023979419035;0.00000000000000101;0.000000000000135;0.0840577616427937;0.137827699049223
Vwa5b2;0.110835539261414;0.00000000000000113;0.00000000000015;0.0838683187766781;0.137640530545283
Bcar3;0.11057752334226;0.00000000000000132;0.000000000000173;0.0836089330913794;0.137384252693946
Rpl27;0.110207389242474;0.00000000000000164;0.000000000000214;0.0832368403890128;0.137016605654314
Tmem176b;0.109985910186503;0.00000000000000187;0.000000000000241;0.0830141929501916;0.136796611261267
Hhex;0.109286912754554;0.00000000000000282;0.000000000000352;0.0823115257104078;0.136102282144596
Cldn6;0.108414452926496;0.00000000000000468;0.000000000000572;0.0814345230060777;0.135235612154001
Dennd2a;0.106580282832044;0.0000000000000134;0.00000000000158;0.0795909386659039;0.133413480172577
Tnfrsf8;0.106480304713549;0.0000000000000142;0.00000000000166;0.0794904526957155;0.13331415302127
Rpl19;0.106191541345487;0.0000000000000168;0.00000000000193;0.0792002255970538;0.133027266792449
Abhd15;0.106185492664462;0.0000000000000168;0.00000000000193;0.0791941463044207;0.133021257383481
Dstn;0.105824607117321;0.0000000000000206;0.00000000000235;0.0788314379944993;0.132662711374252
Cald1;0.105748518420526;0.0000000000000216;0.00000000000243;0.078754965900718;0.132587115046367
Dusp8;0.105677608080392;0.0000000000000224;0.00000000000252;0.0786836985423766;0.132516663284976
Lpcat3;0.105586301258854;0.0000000000000236;0.00000000000264;0.0785919324171357;0.132425946547261
Rpl24;0.105366474584966;0.0000000000000267;0.00000000000297;0.0783710018183988;0.132207538691308
Jpt1;0.105088229482983;0.0000000000000313;0.00000000000344;0.0780913632282682;0.131931085717523
Setbp1;0.10475584788663;0.0000000000000377;0.00000000000412;0.077757322589265;0.131600839459631
Fat1;0.104725048857952;0.0000000000000383;0.00000000000417;0.0777263701378194;0.131570237993289
Clstn2;0.104712790535642;0.0000000000000386;0.00000000000417;0.0777140507661896;0.131558058288536
Ube2i;0.104610951976331;0.0000000000000409;0.00000000000439;0.0776117053457352;0.131456872547546
Cd24a;0.104540984464787;0.0000000000000425;0.00000000000452;0.0775413899283581;0.131387353226341
Pla2g2f;0.103983192504669;0.000000000000058;0.00000000000601;0.076980834014452;0.13083312486616
Gdpd1;0.102710932175377;0.000000000000117;0.000000000012;0.0757023332889951;0.129568929908475
Tecr;0.102244045452321;0.000000000000151;0.0000000000151;0.0752331787743405;0.129104981067399
Gpr153;0.102222392252451;0.000000000000153;0.0000000000152;0.0752114206893385;0.129083463834821
Smarce1;0.102096038732978;0.000000000000164;0.0000000000162;0.0750844556436778;0.128957903224613
Naca;0.102013282906945;0.000000000000172;0.0000000000168;0.075001299770366;0.128875666251403
Rps23;0.101513860175726;0.000000000000225;0.0000000000219;0.0744994707704374;0.128379366899469
Cyth2;0.101031812377497;0.000000000000293;0.0000000000279;0.0740151133937278;0.127900321055371
Rpl18a;0.10070410953637;0.000000000000349;0.0000000000331;0.0736858477464751;0.12757465182619
Psmc2;0.100663610022732;0.000000000000357;0.0000000000337;0.0736451555007001;0.127534403236419
Arx;0.100412328480135;0.000000000000408;0.000000000038;0.0733926801513239;0.12728467658727
Trim24;0.100340458763125;0.000000000000425;0.0000000000393;0.0733204696273197;0.127213250963
Dll3;0.100286817621452;0.000000000000437;0.0000000000403;0.0732665743033929;0.127159941095592
Rps3a1;0.0999262732324157;0.00000000000053;0.0000000000486;0.0729043255451374;0.126801619309658
Miat;0.0998597392729963;0.000000000000549;0.0000000000502;0.0728374778449307;0.126735494737237
Rhobtb3;0.0998507083530186;0.000000000000552;0.0000000000502;0.0728284043583773;0.12672651936658
Drap1;0.0997911268444742;0.00000000000057;0.0000000000516;0.07276854212889;0.126667304234471
Zfp423;0.0994738142110423;0.000000000000675;0.0000000000606;0.0724497377423671;0.126351939581688
Dop1b;0.0990112014870914;0.000000000000862;0.0000000000767;0.0719849600731888;0.125892157100274
Eif1;0.0989664492787258;0.000000000000883;0.0000000000782;0.0719399990550762;0.125847678071158
Klc3;0.0989528097755362;0.000000000000889;0.0000000000784;0.0719262959330403;0.125834121805593
Jarid2;0.0986429158545297;0.00000000000105;0.0000000000912;0.0716149593205261;0.12552611636513
Lamb1;0.0985334671725678;0.00000000000111;0.0000000000958;0.071505002365668;0.125417333420462
Ddah2;0.0983841163616127;0.0000000000012;0.000000000103;0.0713549590386413;0.125268890014296
Sulf2;0.0979584402593952;0.0000000000015;0.000000000127;0.0709273158553458;0.124845793570713
Chd4;0.0973137198036039;0.0000000000021;0.000000000175;0.0702796350199505;0.124204961592256
Gdap1l1;0.096916046326129;0.00000000000259;0.000000000212;0.0698801469003463;0.123809675401202
Celf2;0.0968103250171988;0.00000000000273;0.000000000222;0.0697739446287554;0.123704587315087
Ddx5;0.0961399327294063;0.00000000000386;0.00000000031;0.0691005167599333;0.123038196332697
Fhl2;0.0959664832290624;0.00000000000422;0.000000000337;0.0689262858812583;0.122865778133591
Casz1;0.0959282819419422;0.0000000000043;0.000000000342;0.0688879127215644;0.122827803766622
Atp5pb;0.0958765110664881;0.00000000000442;0.00000000035;0.0688359090498826;0.122776340290566
Hacd1;0.0958349274029344;0.00000000000452;0.000000000356;0.0687941385049918;0.122735003433138
Rps11;0.0958190649641496;0.00000000000455;0.000000000358;0.0687782048037273;0.122719235116036
Rpl28;0.0957696855379855;0.00000000000467;0.000000000365;0.0687286036273343;0.122670148601673
Nono;0.0956121541630728;0.00000000000506;0.000000000391;0.0685703657133213;0.122513550801
Mid1;0.0955727054813404;0.00000000000516;0.000000000398;0.0685307403145464;0.122474335693282
Spint1;0.0955050113736216;0.00000000000535;0.00000000041;0.0684627431584498;0.122407042203831
Serping1;0.0954787552470251;0.00000000000542;0.000000000414;0.0684363695578336;0.122380941396176
Klhl24;0.0952520529400188;0.00000000000608;0.000000000462;0.0682086545212657;0.122155578606054
Gm15816;0.0949647052038619;0.00000000000704;0.000000000526;0.067920027188106;0.121869924736016
Rps26;0.0949468562376615;0.00000000000711;0.000000000529;0.0679020988874547;0.121852180839414
Fau;0.0948122698625153;0.00000000000761;0.000000000562;0.067766914869946;0.121718386165748
Abr;0.0946308778285825;0.00000000000834;0.000000000614;0.0675847189202314;0.121538059619593
Ppib;0.0943489371604782;0.00000000000962;0.000000000701;0.0673015322931995;0.121257771531035
Btf3;0.0940445590235602;0.0000000000112;0.000000000808;0.0669958139329438;0.120955172672647
Clta;0.0939810479852936;0.0000000000116;0.000000000831;0.0669320238863344;0.120892032265023
Dnaja1;0.093911088716879;0.000000000012;0.000000000858;0.0668617575379995;0.120822481005073
Tmsb10;0.0938373007036571;0.0000000000124;0.000000000886;0.0667876459296565;0.120749123043579
Rpl37;0.0938337785141391;0.0000000000125;0.000000000886;0.0667841083011456;0.120745621374757
Rps28;0.0935567765699072;0.0000000000143;0.00000000101;0.0665058942900314;0.120470231179314
Gm30270;0.0934210200353798;0.0000000000153;0.00000000107;0.0663695452666511;0.120335263037986
Dmpk;0.0933049706960493;0.0000000000163;0.00000000113;0.0662529902484725;0.120219886855384
Plxna3;0.0932198815935256;0.000000000017;0.00000000118;0.0661675308437788;0.120135290859398
Stard10;0.092959990195397;0.0000000000193;0.00000000134;0.0659065108727398;0.119876903158084
Grasp;0.0926962672992;0.000000000022;0.00000000151;0.0656416465501242;0.119614702399571
Ptma;0.0925910070103961;0.0000000000232;0.00000000159;0.0655359317458035;0.119510048596396
Ifitm2;0.0925587385610761;0.0000000000236;0.00000000161;0.0655035240824591;0.119477965950675
Pgm2l1;0.0918693801882899;0.0000000000331;0.0000000022;0.0648112052816399;0.118792563513879
Mfng;0.091605099061873;0.0000000000377;0.00000000248;0.0645457961151416;0.118529792181056
Csnk1e;0.0915578082149117;0.0000000000386;0.00000000253;0.0644983038188518;0.11848277110095
Tsr3;0.0915436394496346;0.0000000000389;0.00000000254;0.0644840747213988;0.118468683136752
Cox7c;0.0914797408934431;0.0000000000401;0.00000000261;0.064419904214763;0.118405148844065
1110012L19Rik;0.0914420793337818;0.0000000000408;0.00000000265;0.0643820824733902;0.118367701876627
Rpl23a;0.0913960322780116;0.0000000000418;0.0000000027;0.0643358396764435;0.118321917088827
Rps4x;0.0913369759563955;0.000000000043;0.00000000277;0.0642765324827319;0.118263196963846
Rpl7;0.091298582394124;0.0000000000438;0.00000000281;0.0642379759265916;0.118225021867958
Rpl4;0.0911992563963916;0.000000000046;0.00000000294;0.0641382286307181;0.118126260683985
Rpl13a;0.0910293674516104;0.00000000005;0.00000000318;0.0639676203434878;0.117957336571833
Megf6;0.0909895937585718;0.0000000000509;0.00000000322;0.0639276784695056;0.117917788536251
Oaz1;0.0908886414566805;0.0000000000535;0.00000000337;0.0638262996854863;0.117817408607258
Gm11752;0.0908695250377696;0.000000000054;0.00000000339;0.0638071025704327;0.117798400511424
Tes;0.0906943568326005;0.0000000000588;0.00000000368;0.0636311958602732;0.117624223977023
Dctn6;0.0906058809303327;0.0000000000614;0.00000000382;0.0635423475849008;0.117536248329043
Rpl5;0.0905021464350838;0.0000000000646;0.00000000399;0.0634381770432889;0.117433099823811
Mrfap1;0.0904722551942121;0.0000000000655;0.00000000403;0.0634081602644944;0.117403377328944
Dst;0.0903760894653273;0.0000000000686;0.00000000421;0.0633115909887403;0.117307754160301
Irx3;0.0903387839435347;0.0000000000699;0.00000000426;0.0632741290556578;0.117270658979185
Anpep;0.09020081777141;0.0000000000747;0.00000000454;0.0631355850937927;0.117133470052337
Fxyd3;0.0901721854133284;0.0000000000757;0.00000000459;0.0631068329567161;0.117104998868515
Stmn1;0.0898935996994502;0.0000000000866;0.00000000523;0.0628270841682168;0.116827979029124
Rev3l;0.0897830241101376;0.0000000000914;0.0000000055;0.0627160481131552;0.116718023801136
Eif3f;0.0895830115239854;0.000000000101;0.000000006;0.0625152043243032;0.116519131666573
Tapt1;0.0891208608404229;0.000000000125;0.00000000738;0.0620511414420018;0.116059561644216
Scin;0.0890691052644721;0.000000000129;0.00000000754;0.0619991724504775;0.116008094354515
Pde1c;0.0889099251743814;0.000000000139;0.00000000807;0.06183933689677;0.115849800014499
Kdm5b;0.0888672446884814;0.000000000142;0.00000000821;0.0617964808994055;0.115807356789494
Chd6;0.0882298662823616;0.000000000192;0.0000000109;0.0611564933300889;0.115173509865983
Rtn4;0.0881081060653094;0.000000000203;0.0000000115;0.0610342372095597;0.115052421782019
Khdrbs3;0.0880391523779593;0.00000000021;0.0000000119;0.0609650030487801;0.114983848373344
Jun;0.0877793179970004;0.000000000237;0.0000000133;0.0607041141157393;0.114725444668465
Eef1b2;0.0877030481935137;0.000000000246;0.0000000138;0.060627535469362;0.114649594122443
9030622O22Rik;0.0876944995989882;0.000000000247;0.0000000138;0.0606189522784761;0.114641092500224
Rps19;0.0869661360316428;0.000000000347;0.0000000193;0.0598876557110043;0.113916716605893
Gspt1;0.0869456105585209;0.00000000035;0.0000000194;0.0598670480062747;0.113896303091288
Arhgef2;0.0868314039285018;0.000000000369;0.0000000204;0.0597523842495025;0.113782718998679
Myh11;0.0867098270750102;0.000000000391;0.0000000215;0.0596303215542558;0.113661804083287
St18;0.0861278555090027;0.000000000512;0.0000000279;0.0590460355470618;0.113082990064729
H3f3a;0.0857697724283955;0.000000000604;0.0000000325;0.0586865376275789;0.112726840709358
Prom1;0.0856422847559633;0.00000000064;0.0000000343;0.0585585479282782;0.112600039825577
Klhdc8a;0.0855410795803151;0.000000000671;0.0000000359;0.058456944856163;0.11249937922702
Tmod3;0.0854853553793678;0.000000000688;0.0000000367;0.0584010018104671;0.112443954637411
Rplp0;0.0853751733284059;0.000000000724;0.0000000383;0.0582903875440284;0.1123343645066
Rap1gap2;0.08516519061533;0.000000000797;0.0000000417;0.0580795829649217;0.112125508046963
Inppl1;0.0851385832202646;0.000000000806;0.0000000421;0.0580528716017343;0.112099043192036
Rps15a;0.0849704009287663;0.000000000871;0.0000000452;0.0578840330369654;0.111931760995478
Igsf21;0.0849468929117422;0.00000000088;0.0000000455;0.0578604334114545;0.111908378669305
Nab2;0.0843754834244035;0.00000000114;0.0000000579;0.057286806506905;0.111340015167396
Mycl;0.0841974593232027;0.00000000124;0.0000000621;0.057108095217765;0.111162936446789
Camk2n2;0.0839662357905835;0.00000000137;0.0000000685;0.0568759817346014;0.110932938249177
Sin3b;0.0838777891273417;0.00000000143;0.0000000711;0.0567871954255307;0.110844959532185
Sf3b1;0.083823563111336;0.00000000146;0.0000000726;0.0567327613869825;0.110791020201675
Asph;0.0837144069750456;0.00000000154;0.0000000761;0.0566231869929389;0.110682440677091
Rps7;0.0835108683106721;0.00000000168;0.0000000826;0.0564188701647064;0.110479975475917
Onecut3;0.0833578161102286;0.0000000018;0.0000000882;0.0562652343136435;0.110327728998572
Foxa2;0.083324059861027;0.00000000183;0.0000000894;0.0562313495107574;0.110294150284327
mt-Co3;0.0829647438587929;0.00000000215;0.000000104;0.0558706689958266;0.109936720224684
Slco2a1;0.0828389456178179;0.00000000227;0.00000011;0.0557443947037018;0.109811580612458
Eef1a1;0.0828183359382541;0.00000000229;0.00000011;0.0557237071147284;0.109791078755326
Shf;0.0827836194133237;0.00000000233;0.000000112;0.0556888594058121;0.109756543802876
Apol6;0.0826082155678455;0.00000000252;0.00000012;0.0555127937678107;0.109582056349313
Dsc3;0.0825751396242741;0.00000000256;0.000000121;0.0554795932187051;0.109549153023673
Gm48746;0.0825750781108429;0.00000000256;0.000000121;0.0554795314735929;0.109549091831216
Gm44632;0.0825676913356312;0.00000000256;0.000000121;0.0554721168787205;0.109541743598274
Mxi1;0.082170787422195;0.00000000306;0.000000144;0.0550737225620745;0.109146906290743
Sall1;0.0820695197297829;0.0000000032;0.000000149;0.054972075983543;0.109046164517607
Grin2c;0.0819581019529255;0.00000000336;0.000000156;0.0548602419936197;0.10893532473278
Rpl17;0.081936449151948;0.00000000339;0.000000157;0.0548385083851799;0.108913784180249
Psmd8;0.0818625087893716;0.0000000035;0.000000162;0.0547642922734183;0.108840226934654
Bckdha;0.081810884186153;0.00000000358;0.000000165;0.0547124753217008;0.108788869645677
Sptan1;0.0817845984107319;0.00000000362;0.000000167;0.0546860916639885;0.108762719923709
Ube2b;0.081555109514678;0.00000000401;0.000000183;0.0544557498103907;0.108534417261195
Tmem200a;0.0813053603879743;0.00000000447;0.000000202;0.0542050757008512;0.108285955859668
Map4k4;0.0812215178670178;0.00000000464;0.000000209;0.0541209234225561;0.10820254488129
Prdx2;0.0801530949382526;0.00000000737;0.000000326;0.0530485868990762;0.107139587924643
Gpx2;0.0799876762818275;0.00000000791;0.000000348;0.0528825679082506;0.106975010022509
Gpat4;0.0798769782031414;0.0000000083;0.000000363;0.0527714689229386;0.106864873750178
Ubb;0.0797207113886663;0.00000000887;0.000000386;0.0526146373112484;0.106709398881635
Serinc2;0.079678283527797;0.00000000904;0.000000392;0.052572056333602;0.106667185813471
Stox1;0.0796696323613797;0.00000000907;0.000000393;0.0525633739583188;0.106658578431981
Eif3g;0.0793994853761365;0.0000000102;0.000000436;0.052292254486584;0.106389796668165
Eml5;0.079348144679275;0.0000000104;0.000000443;0.0522407294231949;0.106338714981861
Tecpr1;0.0793475818782862;0.0000000104;0.000000443;0.0522401646019645;0.106338155019377
Sfpq;0.0792820692633786;0.0000000107;0.000000454;0.0521744169401963;0.106272972702578
Ids;0.0790401948728637;0.0000000119;0.0000005;0.0519316767855953;0.106032315772562
Eef2;0.0790156790366581;0.000000012;0.000000504;0.0519070733763081;0.106007923158879
Tbl1xr1;0.0789797546302109;0.0000000122;0.000000511;0.0518710207036379;0.105972179258509
Mreg;0.0789223133038228;0.0000000125;0.000000521;0.0518133744328045;0.105915026407357
Fam90a1b;0.0789213983930845;0.0000000125;0.000000521;0.0518124562592251;0.105914116089935
Megf11;0.0788591700075791;0.0000000128;0.000000533;0.0517500060565481;0.105852200016352
Atf3;0.0784189289521028;0.0000000154;0.000000638;0.0513082017886015;0.105414162465052
Rps13;0.078383296684725;0.0000000157;0.000000647;0.0512724434619899;0.105378708086809
Rpl7a;0.0783725178578445;0.0000000157;0.000000648;0.0512616265156522;0.105367983058201
Rps6;0.0783487900028741;0.0000000159;0.000000653;0.0512378147692373;0.105344373609352
Rpl23;0.0780608218198072;0.0000000179;0.00000073;0.0509488309121884;0.10505784001168
B630019K06Rik;0.077883299270967;0.0000000193;0.000000785;0.0507706844971076;0.104881199602328
Psma2;0.0777774983623769;0.0000000202;0.000000817;0.0506645125936867;0.104775923626117
Rps29;0.0777525321925723;0.0000000204;0.000000823;0.0506394589684448;0.104751081238
Rbpms;0.0776451410184018;0.0000000214;0.000000855;0.0505316919966187;0.10464422212259
Tm4sf4;0.0776178236319888;0.0000000216;0.000000862;0.0505042791182599;0.104617039977957
H2az1;0.0773183251891832;0.0000000245;0.000000967;0.0502037364138498;0.104319021633995
Cnksr3;0.0773043005894458;0.0000000246;0.000000968;0.0501896630348814;0.104305066223931
Col9a3;0.0772903406483018;0.0000000248;0.000000972;0.0501756545500902;0.104291175142911
Kdm1a;0.0772590446701752;0.0000000251;0.000000983;0.0501442497835597;0.104260033499999
Rtl8b;0.0772124326960429;0.0000000256;0.000000998;0.0500974758802686;0.104213651293321
Sfxn2;0.0770358160831965;0.0000000275;0.00000107;0.0499202467836631;0.104037904222641
Msi1;0.0769609540215699;0.0000000284;0.0000011;0.04984512562532;0.103963410222909
Fgd6;0.0767610615090625;0.0000000308;0.00000118;0.0496445427904621;0.103764499004278
Fgf21;0.0767595817293984;0.0000000309;0.00000118;0.049643057908583;0.103763026480957
Lancl3;0.0767393090851287;0.0000000311;0.00000119;0.0496227153771995;0.103742853235015
Rpl15;0.0767283085325068;0.0000000313;0.00000119;0.049611676911123;0.103731906609647
