moscot driver genes epsilon cells;Epsilon_pull_corr;Epsilon_pull_pval;Epsilon_pull_qval;Epsilon_pull_ci_low;Epsilon_pull_ci_high
Zbtb16;0.154697086069232;0.0000000000000000000000000000303;0.0000000000000000000000000067;0.128015898575529;0.181154512536545
Gpr37;0.154299151241832;0.0000000000000000000000000000423;0.00000000000000000000000000923;0.127614892846;0.180760196107159
Jam3;0.154212793049043;0.0000000000000000000000000000454;0.00000000000000000000000000982;0.127527869370604;0.180674622040988
Muc1;0.153781446959251;0.000000000000000000000000000065;0.0000000000000000000000000139;0.127093206446102;0.180247186546616
Prox1os;0.153765637188586;0.0000000000000000000000000000658;0.0000000000000000000000000139;0.12707727530097;0.180231519917872
Tead1;0.152918529648883;0.000000000000000000000000000133;0.0000000000000000000000000278;0.126223684497712;0.179392062467896
Sema3c;0.152786727015443;0.000000000000000000000000000148;0.0000000000000000000000000306;0.126090876678025;0.179261446656589
Tnfrsf8;0.151425015704156;0.000000000000000000000000000451;0.0000000000000000000000000926;0.124718836354795;0.177911942294682
Nkx6-3;0.151293039431017;0.000000000000000000000000000503;0.000000000000000000000000102;0.124585864428813;0.17778114381597
Prkg1;0.151088131128855;0.000000000000000000000000000594;0.000000000000000000000000119;0.124379412162429;0.177578062320124
Kcnq5;0.150412107535672;0.00000000000000000000000000103;0.000000000000000000000000203;0.12369831119669;0.176908049637813
Cemip;0.14953208689928;0.00000000000000000000000000209;0.000000000000000000000000409;0.12281171874608;0.176035816973321
Celf2;0.149429329007368;0.00000000000000000000000000227;0.00000000000000000000000044;0.122708196260002;0.175933965750586
Rab3c;0.148963416723075;0.00000000000000000000000000331;0.000000000000000000000000633;0.122238824541474;0.175472157255432
Cers6;0.148622618475645;0.00000000000000000000000000434;0.000000000000000000000000824;0.121895503410804;0.175134353395907
Zim1;0.148551859049491;0.0000000000000000000000000046;0.000000000000000000000000864;0.121824220964015;0.17506421490743
Gm15816;0.147942067295423;0.00000000000000000000000000748;0.00000000000000000000000139;0.12120993333982;0.17445976312814
Rtn1;0.147505251099543;0.0000000000000000000000000106;0.00000000000000000000000192;0.120769909174008;0.174026759865904
Gm48956;0.145532385621409;0.0000000000000000000000000501;0.000000000000000000000009;0.118782685882131;0.17207098760402
Dnah5;0.144925474547766;0.0000000000000000000000000805;0.0000000000000000000000143;0.118171401024196;0.17146929281987
Astn1;0.144772941907568;0.0000000000000000000000000907;0.0000000000000000000000159;0.118017772325992;0.17131806805595
Tm4sf4;0.144284817687009;0.000000000000000000000000133;0.000000000000000000000023;0.117526149185031;0.170834120802698
Slc8a1;0.141164273858739;0.00000000000000000000000145;0.000000000000000000000247;0.114383546920072;0.167739977291683
Irx1;0.140087831960175;0.00000000000000000000000328;0.000000000000000000000553;0.113299620210224;0.16667252079739
Fam174a;0.139633051682604;0.00000000000000000000000461;0.000000000000000000000772;0.112841696874071;0.166221517990067
Cd47;0.139199352445792;0.00000000000000000000000638;0.00000000000000000000105;0.112405010874607;0.165791410758883
Cadm1;0.139152830806309;0.0000000000000000000000066;0.00000000000000000000108;0.112358169468529;0.165745273822456
