moscot driver genes Beta;Beta_pull_corr;Beta_pull_pval;Beta_pull_qval;Beta_pull_ci_low;Beta_pull_ci_high
Lrp5;-0.0707324505495647;3.39E-07;1.88E-06;-0.0977644680182202;-0.043596139824808
Ptrh2;-0.0707362634277344;3.39E-07;1.87E-06;-0.0977682634417298;-0.0435999645921432
Atp5d;-0.0707736953182547;3.34E-07;1.85E-06;-0.0978055239341375;-0.0436375132435372
Ptpn3;-0.0707940196327762;3.31E-07;1.83E-06;-0.0978257551532428;-0.0436579009875778
Phf5a;-0.0708342922380673;3.26E-07;1.81E-06;-0.0978658432240797;-0.0436982993451506
Hspd1;-0.0708608641819247;3.23E-07;1.79E-06;-0.0978922933637085;-0.0437249543092027
Glce;-0.0708666988149648;3.22E-07;1.79E-06;-0.0978981012460204;-0.0437308071768827
Ybx3;-0.0708949116963893;3.19E-07;1.77E-06;-0.0979261847505525;-0.0437591082566665
Rbm41;-0.0709144965684994;3.16E-07;1.76E-06;-0.0979456797862481;-0.0437787543800933
Efna5;-0.0709348823329955;3.14E-07;1.74E-06;-0.0979659720185757;-0.043799203922974
Kif26b;-0.0709854410109283;3.08E-07;1.71E-06;-0.0980162986306375;-0.0438499208756318
Sox9;-0.0710083620554199;3.05E-07;1.70E-06;-0.0980391144212903;-0.0438729137208863
Lrrtm3;-0.0710498953302093;3.00E-07;1.67E-06;-0.0980804569021586;-0.0439145771729684
Ltbp1;-0.0710637853064346;2.99E-07;1.66E-06;-0.0980942830503401;-0.0439285107054568
Zfp664;-0.0711039931311868;2.94E-07;1.64E-06;-0.0981343060508853;-0.0439688446736341
Ubxn1;-0.0711362669770017;2.91E-07;1.62E-06;-0.0981664314795315;-0.0440012198357161
Crip2;-0.0711745250544795;2.86E-07;1.60E-06;-0.0982045135472869;-0.044039598089396
Mbd3;-0.0713450858168813;2.68E-07;1.50E-06;-0.0983742886664252;-0.0442106955913711
Clasp1;-0.0713451727747426;2.68E-07;1.50E-06;-0.0983743752233368;-0.0442107828232871
Insr;-0.0713573508548228;2.67E-07;1.49E-06;-0.0983864971480586;-0.0442229992876469
Ppp1cb;-0.0713835372594661;2.64E-07;1.48E-06;-0.0984125627752252;-0.0442492682571111
Ankrd2;-0.0713839713254573;2.64E-07;1.48E-06;-0.0984129948388958;-0.0442497036920134
Kif2a;-0.0713852851784888;2.64E-07;1.48E-06;-0.0984143026311392;-0.0442510216885974
2310009B15Rik;-0.071576673818187;2.45E-07;1.37E-06;-0.0986048074000381;-0.0444430149275926
Utp11;-0.0715810225706644;2.45E-07;1.37E-06;-0.0986091360460933;-0.0444473774411265
Myh9;-0.0716266697031174;2.40E-07;1.35E-06;-0.0986545720676822;-0.0444931690803802
Zfp706;-0.071665206597177;2.37E-07;1.33E-06;-0.0986929306468926;-0.0445318280608586
Zeb2;-0.071695841362778;2.34E-07;1.31E-06;-0.0987234236044418;-0.0445625599365971
Paxip1;-0.071704146911291;2.33E-07;1.31E-06;-0.0987316906979004;-0.0445708918219866
Wrap73;-0.0717642061377763;2.28E-07;1.28E-06;-0.0987914717364987;-0.0446311416084885
Fkbp3;-0.0718108320942334;2.24E-07;1.26E-06;-0.0988378815920215;-0.0446779156390628
