moscot driver TFs Fev+ delta;Fev_delta_pull_corr;Fev_delta_pull_pval;Fev_delta_pull_qval;Fev_delta_pull_ci_low;Fev_delta_pull_ci_high
Zfp992;-0.0173354160472131;0.212018536358001;0.524832770328823;-0.0445346500549136;0.00988949931990518
Egr4;-0.0173739479070541;0.211004248894685;0.523179664747084;-0.0445731170128128;0.00985095960630994
Gtpbp1;-0.0174169208475511;0.209877200361392;0.522099790025868;-0.0446160174758078;0.00980797781145204
Pck2;-0.0174534034562305;0.208923797809044;0.520585700811314;-0.0446524384747452;0.00977148760675403
Trim21;-0.0175329263775654;0.206856498895305;0.517141247238264;-0.0447318268517549;0.00969194787672527
Gm14418;-0.0175533229303767;0.206328664482509;0.516677086846748;-0.0447521888404134;0.00967154695719797
Mef2b;-0.0175965489191753;0.205213269124337;0.516453393962916;-0.0447953415034267;0.00962831163919789
Zfp787;-0.0178177325135679;0.199574417112653;0.505633170872662;-0.0450161483077531;0.00940707871505944
Zfp575;-0.0178577265809209;0.198567004848966;0.503926348440234;-0.0450560739608145;0.00936707544344754
Dbp;-0.0178813369315825;0.197974030132337;0.503267315656278;-0.045079643882563;0.00934345961817893
Zfp946;-0.017915925430425;0.197107678415225;0.50190993997806;-0.0451141730995122;0.00930886304435725
Gm7072;-0.0179829554245846;0.195436656018703;0.499339002687382;-0.0451810880246738;0.00924181721593096
Max;-0.0180627300981326;0.193461474874322;0.495724066606756;-0.0452607254326167;0.00916202337846778
Zfp951;-0.0180696840201963;0.193289996157593;0.495724066606756;-0.0452676673729196;0.00915506776946561
Heyl;-0.0181159049526317;0.192153056548912;0.495138422165285;-0.0453138085989175;0.00910883555743306
Zfp189;-0.018179456969704;0.190597843888153;0.491970503027542;-0.0453772508332068;0.00904526784130857
Zfp383;-0.0181910576351674;0.19031496096032;0.491970503027542;-0.0453888314354494;0.00903366428642087
Zfp871;-0.01828145191458;0.188121271485796;0.488080962102323;-0.0454790691285638;0.00894324724099135
Zfp458;-0.0183045329664738;0.18756414095618;0.487473068578023;-0.0455021101269648;0.00892016030473216
Gm10053;-0.0184898404544305;0.183135252985539;0.478432927349765;-0.045687094994479;0.00873480452189281
Zfp583;-0.0186082895962363;0.180345166799547;0.473602090204029;-0.0458053369390845;0.00861632352971436
Gm5751;-0.018673155108372;0.178830689151883;0.471344878872156;-0.0458700886622617;0.00855144025164963
Zfp287;-0.0187432535707983;0.177204686429779;0.46861484502446;-0.0459400638989949;0.00848132233232214
Msrb3;-0.0188169520652821;0.175507075257963;0.465756913250483;-0.0460136325514942;0.00840760309299532
Ehf;-0.0189008660795892;0.173588953254806;0.462374716572304;-0.046097398366924;0.00832366509805537
Kdm4c;-0.0189470253111181;0.172540534922796;0.461126031386588;-0.0461434759144893;0.00827749251175038
Zfp831;-0.0189533964248902;0.172396199890879;0.461126031386588;-0.0461498357447682;0.00827111954557215
AI987944;-0.0189710600413838;0.171996509858835;0.461126031386588;-0.0461674680667723;0.00825345078180308
Zfp128;-0.0189742251271118;0.171924963991973;0.461126031386588;-0.0461706275431525;0.00825028477195571
Zfp329;-0.0190301593428875;0.170664257290696;0.459363687181732;-0.0462264625393054;0.00819433413484827
Nfat5;-0.0190502832301367;0.170212380458248;0.458965525878492;-0.0462465506879729;0.00817420429787215
Mylk;-0.0190757185471661;0.169642519920477;0.458965525878492;-0.046271940802231;0.00814876142919653
Zfp607b;-0.019386410137087;0.162796684561903;0.446950897615408;-0.0465820774056247;0.00783797475115188
Ikzf3;-0.0194139525640826;0.162200008536868;0.446831125840598;-0.0466095703807565;0.00781042364092143
Rfx5;-0.0194657664122473;0.161081992416419;0.44523377198685;-0.0466612910865547;0.00775859334551163
Zfp688;-0.0195479034725065;0.159321613362437;0.441423185646386;-0.0467432801956031;0.00767642991278367
Pds5a;-0.0195743101920619;0.15875876063515;0.440672295145362;-0.0467696392716273;0.00765001463650273
Lmx1a;-0.0196093729093807;0.158013734189537;0.439412041668879;-0.0468046386695604;0.00761494049888654
Dnajc21;-0.0196341485021493;0.157488890772438;0.438760562853104;-0.0468293694800909;0.00759015679605614
Shox2;-0.0197420566387572;0.155218367218253;0.433234259703443;-0.0469370821823826;0.0074822129466476
Gli3;-0.0197444212582297;0.155168892283131;0.433234259703443;-0.0469394425121703;0.00747984753748712
Homez;-0.019774814448168;0.154534040725261;0.433234259703443;-0.0469697805384172;0.00744944417031923
Fank1;-0.0197803010976904;0.154419646317759;0.433234259703443;-0.0469752572243154;0.00744395567821634
Meis2;-0.0197836557636532;0.154349734588602;0.433234259703443;-0.0469786057974797;0.00744059988484867
Zfp712;-0.0199730947078363;0.150440687090018;0.425866305769275;-0.0471676996877816;0.00725109628075994
Stat6;-0.0200690966138506;0.148488729956269;0.422256087069616;-0.0472635259868162;0.00715506086049312
Zfp704;-0.0200906958102523;0.148052240837874;0.421809214462622;-0.0472850856049242;0.00713345405461098
Runx2;-0.0201270687074496;0.147319411607475;0.420514766592226;-0.0473213917952885;0.00709706828565269
Tfap4;-0.0201882301888332;0.146093404060299;0.418597799110156;-0.0473824409463071;0.00703588499771706
Hmgxb4;-0.0201908075767295;0.14604191115255;0.418597799110156;-0.0473850135960617;0.00703330668640147
Zbtb40;-0.0202136013661253;0.145587124665454;0.418597799110156;-0.0474077654667843;0.00701050471475531
Taf7;-0.0202270388741608;0.145319524986439;0.418597799110156;-0.0474211782494944;0.00699706236981448
Ybx1;-0.0202450872856153;0.144960694730059;0.418528965664225;-0.0474391934360233;0.00697900744625179
Zfp319;-0.0202810643295402;0.144247440377167;0.417267499941613;-0.0474751041978145;0.0069430173683728
Zfp955a;-0.0202813252707886;0.144242276988924;0.417267499941613;-0.0474753646580622;0.00694275633233161
Mef2c;-0.0204491087621199;0.14095148302535;0.411563925484719;-0.047642838103543;0.00677491112167019
Zfp280b;-0.0204888014773437;0.140181480857172;0.411002035946079;-0.0476824572472694;0.00673520358106585
Tceal5;-0.0205024069100825;0.139918293679345;0.411002035946079;-0.0476960374422877;0.00672159304688906
Zfp964;-0.0205580949803851;0.13884500851677;0.409689094806632;-0.0477516221078977;0.00666588399087654
Nelfa;-0.0205969277721689;0.138100336745282;0.408885310755639;-0.0477903826931327;0.00662703646518594
Snai2;-0.0206177738123226;0.137701856666829;0.408506490308276;-0.047811189937918;0.00660618248174869
Zfp248;-0.0207622293191375;0.134964836568997;0.403558224196407;-0.0479553759584749;0.00646167128025607
Clk1;-0.020852809270164;0.133270163328174;0.399281640130045;-0.0480457863516787;0.00637105582616084
Zfp809;-0.0210248036840651;0.13009765815422;0.392894927625746;-0.0482174575806345;0.00619899276807294
Zfp512;-0.0210355309816365;0.129901746917393;0.392894927625746;-0.0482281646679257;0.00618826113575469
Zfp943;-0.021048483074538;0.129665509684881;0.392894927625746;-0.048241092350694;0.00617530380074192
Zfp459;-0.0211450232870774;0.127915174039134;0.391367412316586;-0.0483374503319139;0.00607872422739108
Mitf;-0.0212521744351083;0.125994020709407;0.387476519900623;-0.0484443986265635;0.00597152879763125
