moscot driver TFs delta;Delta_pull_corr;Delta_pull_pval;Delta_pull_qval;Delta_pull_ci_low;Delta_pull_ci_high
Phf20;0.0180744044474946;0.193173657422402;0.497783381253103;-0.00915034619554683;0.0452723796653211
Hoxb4;0.0180741668948256;0.193179510870409;0.497783381253103;-0.00915058380594791;0.0452721425220647
Zfp763;0.0179790138932134;0.195534628109346;0.500436082110362;-0.00924575968517031;0.0451771532664014
Atf1;0.0179363891045925;0.196596424778554;0.50230220205688;-0.00928839456208336;0.045134601669997
Zfp942;0.01791299701888;0.197180919809489;0.502944575865419;-0.00931179214209037;0.0451112497095462
Morn1;0.0178867710540307;0.197837735470917;0.503768938551577;-0.00933802423140422;0.0450850686956672
Hdx;0.0178232340796388;0.199435616966495;0.504476300637826;-0.00940157588802389;0.0450216404679386
Gm14295;0.0178213098171337;0.199484156563443;0.504476300637826;-0.00940350059175949;0.0450197194954824
Zhx3;0.0178020157017448;0.199971328382397;0.504476300637826;-0.00942279912010819;0.0450004583574995
Zfp644;0.0177795073905503;0.200540754755779;0.504484077582026;-0.00944531255378504;0.0449779884918431
Smad5;0.0177065007691901;0.202395852652329;0.505179928163917;-0.00951833560017741;0.0449051063807495
Zfp598;0.0176822979714426;0.203013596042225;0.505858960435247;-0.00954254377898368;0.044880944796134
Nfia;0.0175953187497778;0.205244951494911;0.50973663940348;-0.00962954207550261;0.0447941134222125
Zfp235;0.017517274505704;0.207262211468988;0.510269203691386;-0.00970760308414062;0.0447162014883492
Phf8;0.0175129087788499;0.207375478464233;0.510269203691386;-0.00971196973898977;0.0447118431530407
Zfp236;0.0175081170822678;0.207499848738991;0.510269203691386;-0.00971676245291736;0.0447070595680152
Zfx;0.0174956044290524;0.207824874351127;0.510269203691386;-0.00972927775684955;0.044694568090789
Nfxl1;0.017376139050254;0.210946676269631;0.514506412428315;-0.00984876801406983;0.0445753044628913
Sall4;0.017109824582607;0.21802756947091;0.522446865834783;-0.0101151351427025;0.0443094369515918
Rad21;0.0171026551498965;0.218220526159105;0.522446865834783;-0.0101223059396887;0.0443022794981042
Gtf2i;0.0169719219322245;0.221760588679152;0.528167963573375;-0.0102530635436064;0.0441717642295478
Sox6;0.0168277412921729;0.225712263960032;0.53420927677061;-0.0103972699986793;0.0440278228805533
Tcfl5;0.0168092924393749;0.226221510344787;0.534576651988463;-0.0104157220729559;0.0440094045651091
Nr2c1;0.0167257752778372;0.228537098805279;0.539204717493706;-0.010499253586037;0.04392602541354
Erf;0.0166841480268106;0.22969753140189;0.539615433302863;-0.0105408878483772;0.0438844668089755
Klf4;0.0166246394900267;0.231363702948056;0.542483216539697;-0.0106004062443096;0.0438250562427572
Zfp655;0.0165854008428843;0.232467024694411;0.544183208232348;-0.0106396512868267;0.0437858820900457
Zfp12;0.016573247717208;0.232809504978872;0.544183208232348;-0.0106518063762885;0.043773748922836
Zfp251;0.016401423039672;0.237689922100299;0.551458916974437;-0.0108236579574278;0.0436022055656309
Kat7;0.0163688109179754;0.238624316712242;0.551458916974437;-0.0108562750038069;0.0435696466570994
Creb1;0.0163574871310918;0.238949368399697;0.551458916974437;-0.010867600487119;0.0435583413337127
Zfp189;0.0163278614326235;0.239801257107593;0.551458916974437;-0.0108972305908027;0.0435287639071547
Zfp949;0.0161796123723412;0.244096314787698;0.557274612967555;-0.0110455009768754;0.04338075568657
Myrf;0.0161433339428521;0.245155544256489;0.557274612967555;-0.0110817844427279;0.0433445360117698
Ssbp3;0.0161414008144188;0.245212076564041;0.557274612967555;-0.0110837178375164;0.0433426060121259
Zfp612;0.0161353994939673;0.245387637110201;0.557274612967555;-0.0110897199835603;0.0433366144035833
Wrnip1;0.0158677538351498;0.253307006756375;0.56752369455246;-0.0113574004672185;0.04306939988495
Egr2;0.0157815724787206;0.25589448792057;0.569912502595961;-0.0114435922066757;0.0429833565264388
Pgam2;0.0157431297001902;0.257054581827085;0.571653046478495;-0.0114820394862655;0.0429449751742722
Pbx4;0.0155727144924684;0.262241141611154;0.579771777207677;-0.0116524736776299;0.0427748313001361
Zfp472;0.0154856846689624;0.26491757003368;0.583021232372547;-0.0117395125857403;0.0426879394360922
Zkscan2;0.0153426966893328;0.26935561382784;0.588022312265869;-0.0118825145954286;0.0425451772271802
Sin3a;0.0152467406089987;0.272362329793961;0.589207905428198;-0.0119784794665957;0.0424493720337311
Xbp1;0.015230585718835;0.272870781302758;0.589463347306388;-0.0119946357874341;0.0424332424972483
Zfp81;0.0151658263447424;0.274915500936396;0.59275660643627;-0.0120594007539031;0.042368584614954
Zfp410;0.0151010294414336;0.276971846656411;0.594073137004518;-0.0121242030242057;0.0423038890342019
Lef1;0.0150380069130247;0.278981909141207;0.596689352412498;-0.0121872305532598;0.0422409648349292
2610021A01Rik;0.0150014455020475;0.28015254644634;0.598345608393173;-0.0122237947661179;0.0422044603689583
Zfp874a;0.0148802847660556;0.284055738763115;0.605825092559752;-0.0123449642668313;0.0420834878236786
Zfp607a;0.0148406254864525;0.285341318188396;0.607708590217882;-0.0123846262416781;0.0420438899708598
Zfp97;0.0148061704275144;0.286461387121295;0.609036912324523;-0.0124190835726383;0.0420094882087077
Gata4;0.0146662285463338;0.291041116426232;0.613669351221886;-0.0125590340171808;0.0418697621335072
Patz1;0.0146461637191022;0.291701768911024;0.613669351221886;-0.0125790999847938;0.0418497281612546
Zfp943;0.0146124142268442;0.292815272191022;0.614952796951938;-0.012612851345739;0.0418160305184257
Elk4;0.014540848975971;0.295185864420935;0.618211727150641;-0.0126844203538849;0.0417445750086663
Hic2;0.0143800705523942;0.300558383913753;0.626855192969292;-0.0128452062012597;0.041584042114491
Zfp316;0.0143555890574158;0.301382128340213;0.626861332226184;-0.0128696887031393;0.0415595978826956
Larp1;0.0143553076009385;0.301391607414708;0.626861332226184;-0.0128699701710028;0.0415593168544327
Zfp72;0.0141310693685327;0.309006728136031;0.639178300664942;-0.0130942161038937;0.0413354184154443
Rbfox2;0.0141092512238643;0.30975439963067;0.639848349442287;-0.0131160348516183;0.0413136331864645
Mybl2;0.0140654263616103;0.311259811100744;0.641298625279025;-0.0131598608468577;0.041269874361917
Hnf1a;0.0140542480111875;0.311644565259763;0.641298625279025;-0.0131710394695265;0.0412587128389413
Map4k2;0.0139845900423605;0.314049223314178;0.643189273393775;-0.01324069898152;0.0411891595774825
Tfdp2;0.0139752597890382;0.314372236397193;0.643189273393775;-0.0132500294214711;0.0411798433290404
2010315B03Rik;0.0139327365831165;0.315847153211745;0.644073725140797;-0.0132925534179209;0.0411373838913181
Kdm2a;0.0137862505874051;0.320962734440803;0.648652367100702;-0.0134390413829321;0.0409911168151436
Zbtb8a;0.0137761005925913;0.321319185822069;0.648652367100702;-0.0134491914709053;0.0409809819460395
Zfp709;0.0137029316216362;0.323896404974624;0.65172855673207;-0.0135223609474176;0.0409079218472007
Tef;0.0136189255205793;0.326871891207099;0.654129087872843;-0.0136063672693674;0.0408240403846797
Zeb2;0.0135265278749283;0.330165034031008;0.659456615591035;-0.0136987647141415;0.0407317793851184
Zfp850;0.0134107984590228;0.334319923083811;0.66628173003999;-0.0138144932225691;0.0406162204660288
Elf2;0.01339880471427;0.334752438321697;0.66628173003999;-0.0138264868315614;0.0406042443492787
Cic;0.0133616533929627;0.336094465696905;0.66628173003999;-0.0138636376826265;0.0405671475821263
Zfp58;0.0133579180906489;0.336229588271836;0.66628173003999;-0.013867372933502;0.040563417760697
Ubtf;0.0132473385298129;0.340245567950087;0.670465285804531;-0.0139779506273594;0.0404530001120222
Zfp408;0.0132386929597736;0.340560843849056;0.670465285804531;-0.013986596023363;0.0404443671729426
Gm13212;0.0132058429301868;0.341760483124164;0.671061589986429;-0.0140194453545603;0.0404115650993828
Zfp455;0.0131324563735584;0.344450212570644;0.672858759355333;-0.0140928301387056;0.0403382854640882
Mkx;0.0131201937937693;0.34490096796143;0.672868813464805;-0.014105092393722;0.0403260407218598
Zfp661;0.0130491365051935;0.347520333997244;0.674175472869484;-0.0141761476391453;0.0402550866347382
Zfp959;0.0130375079752595;0.347950194701286;0.674175472869484;-0.0141877758085361;0.0402434749676035
Ecsit;0.0129913564366908;0.349659564632153;0.674338392630251;-0.0142339258435636;0.0401973902819894
BC025920;0.0129909812035879;0.349673484390388;0.674338392630251;-0.0142343010639666;0.0401970155919572
Zfp60;0.0129517482742384;0.351130820543053;0.676285126301034;-0.0142735326231564;0.0401578394017688
Timm8a2;0.0129307484511527;0.351912453122544;0.676663282589854;-0.0142945316784089;0.0401368699145259
Pdx1;0.0128697497199589;0.354189121479713;0.676994396752364;-0.0143555280430648;0.0400759591647356
Hspa1l;0.0128348298139396;0.355496621229745;0.678015493885246;-0.014390446503112;0.040041089534366
Ube2k;0.0127398888784581;0.359066840992192;0.679759557444118;-0.0144853831715514;0.0399462849543196
Epas1;0.0127339321161303;0.359291591436716;0.679759557444118;-0.0144913396497925;0.0399403367308423
Zfp780b;0.0127096807267837;0.360207515617628;0.679759557444118;-0.0145155898626076;0.0399161200852712
Zbtb34;0.0127007228964975;0.36054620434894;0.679759557444118;-0.0145245472502138;0.0399071750803458
Ppara;0.0126996261354588;0.360587685770025;0.679759557444118;-0.0145256439567522;0.0399060798892935
Id4;0.0126743063082993;0.361546158136392;0.680335994788536;-0.0145509625075073;0.0398807962886688
Hoxb2;0.0126455174087908;0.36263788859081;0.681073646482741;-0.0145797499133167;0.03985204853677
Zfp82;0.0125848009932811;0.36494712834983;0.683482461863154;-0.0146404630306127;0.0397914187547997
Gm49527;0.012576111284323;0.365278375313619;0.683482461863154;-0.0146491522511101;0.0397827414284109
Zbtb16;0.0125314986497424;0.366981938093683;0.685540434791413;-0.0146937623132044;0.0397381923008548
Etv5;0.012464637654529;0.369544320798995;0.686616827317149;-0.0147606192500943;0.0396714262811541
Zscan26;0.0124600243536277;0.369721530129637;0.686616827317149;-0.014765232262;0.0396668195244504
Cnot3;0.0123640012659348;0.37342201344131;0.691861644535434;-0.0148612490713088;0.039570932387723
Foxj3;0.0123263367052028;0.374879745303547;0.692862197562247;-0.0148989110322782;0.039533321016234
Zfp335;0.0122418930757059;0.378160722954504;0.694828252928473;-0.01498334855238;0.0394489963563888
Zbtb49;0.0122299663584909;0.378625544973979;0.694828252928473;-0.0149952743754167;0.0394370864110731
Irf2;0.012224377891035;0.378843466196838;0.694828252928473;-0.015000862421225;0.0394315057997179
Zfp444;0.0122161473111465;0.379164556564942;0.694828252928473;-0.0150090923770227;0.0394232867870423
Zfp78;0.012179322845127;0.380603196579671;0.696314476844604;-0.0150459140056223;0.0393865140288463
Kdm5a;0.0121717911643632;0.380897852896452;0.696314476844604;-0.0150534450969548;0.0393789929147674
Cnot4;0.0120947672257883;0.383919235183176;0.700142566578015;-0.0151304628302908;0.0393020768611142
Zfp39;0.0118641338738312;0.393053507438398;0.711313192088367;-0.0153610756699462;0.0390717646216673
Bhlha15;0.0118025462516092;0.39551478614968;0.711832332641261;-0.0154226573246241;0.0390102622592953
Sp1;0.0117660731545868;0.39697677085531;0.711917961985175;-0.0154591267902019;0.0389738395572224
Zfp868;0.0117235361394301;0.398685931652923;0.714134942818403;-0.0155016594786564;0.038931361224215
Zfp275;0.0117072476256317;0.399341584143655;0.714461838929999;-0.0155179463095622;0.0389150951552786
Hdac8;0.0116191483753909;0.402899019690735;0.717498028108492;-0.0156060362072019;0.0388271170520578
Scmh1;0.0116041573251676;0.403506240709017;0.717498028108492;-0.0156210256239021;0.0388121465743281
Ppp1r10;0.0115747991676372;0.404696995432376;0.717498028108492;-0.0156503805469268;0.038782828670155
Lrrfip1;0.0114826335433951;0.408448820558429;0.721354057360501;-0.015742535711976;0.0386907891110549
Onecut3;0.0112636712240508;0.41744482954054;0.728718719775973;-0.0159614713281655;0.0384721244394661
Gatad1;0.0111619093487383;0.421665111467164;0.73140438774962;-0.0160632199047297;0.0383705000078518
Zfp14;0.0111230851464921;0.423281802598518;0.731828076255281;-0.0161020388846383;0.0383317280948145
Zfp961;0.0110942531086789;0.42448475013553;0.731828076255281;-0.0161308669910777;0.038302934835554
Gm5751;0.0110812170644572;0.425029302868828;0.731828076255281;-0.0161439012429189;0.0382899163097363
Zfp341;0.0109872725754274;0.428965676896727;0.733565313832455;-0.0162378325415123;0.0381960977942818
Ahdc1;0.0109382854742176;0.431026665340314;0.735424027868785;-0.0162868125739837;0.0381471761913755
Irf6;0.0108722994634964;0.433811887742731;0.739340801909169;-0.0163527888565177;0.0380812782012119
Gm14443;0.0107422506028653;0.439331496864634;0.746016255117965;-0.0164828178502455;0.0379514021235111
Zfp777;0.0107334857287752;0.439704945069529;0.746016255117965;-0.0164915813522472;0.0379426488613689
E430018J23Rik;0.010554192787446;0.447384011821085;0.751473121204353;-0.0166708453084273;0.0377635925359743
Mzf1;0.0105538161598273;0.447400222491863;0.751473121204353;-0.0166712218733168;0.0377632164035586
Prox2;0.0104849820808734;0.45036855493502;0.75477970915858;-0.0167400443579232;0.0376944727005318
Hmgxb3;0.0104079659628903;0.453702900765129;0.758473658306156;-0.0168170471975887;0.0376175573958385
Sox13;0.0103616215828333;0.455716030281279;0.758689311714147;-0.0168633834317929;0.037571273524716
Ets1;0.0103123700249933;0.457860939172158;0.761420724834757;-0.0169126262046185;0.0375220861435727
Las1l;0.0102421762031256;0.46092764888742;0.763996432294187;-0.0169828072777479;0.0374519835591242
Bdp1;0.0101364502583544;0.46556831487575;0.765838928564788;-0.0170885135140426;0.0373463945306876
Ppp5c;0.0101058234584195;0.466917459631287;0.766788075105467;-0.0171191344911228;0.037315807279322
Pik3c3;0.0099251833385177;0.47491879822868;0.776111888880203;-0.0172997392283112;0.0371353993838916
Foxk1;0.00983514415160601;0.478934951457859;0.779972512043521;-0.0173897601154293;0.0370454752857605
Stat6;0.00982592199641912;0.479347345149925;0.779972512043521;-0.0173989803713628;0.0370362648935242
Zfp280d;0.00966403904427841;0.486617831768739;0.785661280619518;-0.0175608292305607;0.0368745876718843
Aire;0.00963483852234491;0.487935599039016;0.785661280619518;-0.0175900234509038;0.0368454241080648
Klf11;0.00962612956958976;0.488328990734356;0.785661280619518;-0.0175987305152445;0.0368367261689639
Nelfe;0.00962086566165025;0.488566849338892;0.785661280619518;-0.0176039932797772;0.0368314689159522
Sox30;0.00952771796507488;0.492786193598368;0.791603353546315;-0.0176971204936163;0.0367384387327794
Hsf1;0.00947586574051281;0.495143393224297;0.793701192960391;-0.0177489611114553;0.0366866517196736
Gm14412;0.00945036971724655;0.49630464561254;0.793877134401415;-0.01777445137395;0.0366611877076392
Zfp992;0.00943155289236;0.49716261484909;0.794081689969502;-0.0177932639245178;0.0366423944853329
Mesp2;0.00941536145300285;0.497901509123645;0.794081689969502;-0.0178094516704935;0.03662622334004
Tcf7;0.00941298138501096;0.498010172451072;0.794081689969502;-0.0178118311943719;0.0366238462539819
Cebpd;0.00934951652066437;0.500912342792108;0.797025961660783;-0.0178752814360997;0.0365604607897639
Mitf;0.00928903519620001;0.503686394777114;0.799338127666217;-0.0179357486213084;0.0365000549290094
Rbbp9;0.00926482095690499;0.504799279548204;0.799342667957319;-0.0179599571440006;0.036475870846545
Zfp563;0.00924850151824111;0.505550049968854;0.799342667957319;-0.0179762727118943;0.0364595717144122
Zfp512;0.00923712216261246;0.506073901037879;0.799342667957319;-0.0179876493599;0.0364482065097258
