moscot driver TFs Eps. progenitors;Eps_progenitors_pull_corr;Eps_progenitors_pull_pval;Eps_progenitors_pull_qval;Eps_progenitors_pull_ci_low;Eps_progenitors_pull_ci_high
Zfp872;-0.0100158103743323;0.470895157255788;0.750846554864033;-0.0372259101345399;0.0172091301660513
Onecut2;-0.01003315869818;0.470127079940372;0.750414260792772;-0.0372432361475344;0.0171917852318074
Gm14419;-0.0100415449012136;0.46975603851528;0.750414260792772;-0.0372516115596062;0.0171834006614379
Dnajc21;-0.0100480426673119;0.469468660875692;0.750414260792772;-0.0372581009620639;0.0171769041577214
Zfp251;-0.0100952633517015;0.467383146240401;0.748407795146348;-0.0373052607971122;0.017129692578283
Zfp532;-0.0101389492519607;0.46545832704578;0.746116851209266;-0.0373488902950788;0.0170860149932986
Tcfl5;-0.010152969364461;0.464841529684687;0.745919989185842;-0.0373628922844079;0.0170719975273945
Luzp2;-0.0101654078756537;0.464294693535103;0.74583509280639;-0.0373753147079502;0.0170595613552778
Pparg;-0.0101921529372598;0.463120109379497;0.744740537979809;-0.0374020251497006;0.0170328212945822
Nr2c1;-0.010196248393905;0.462940392247494;0.744740537979809;-0.0374061153015937;0.0170287266002852
Ddx20;-0.0102450981398728;0.460799763387418;0.742590867358592;-0.0374549017033014;0.0169798858770396
Vamp3;-0.0103596349943955;0.45580243682075;0.736896873232691;-0.037569289527432;0.0168653696684386
Grhl3;-0.0104995317884;0.449740199955509;0.730223335411633;-0.0377090033264375;0.0167254971226374
Snapc4;-0.0105091035891157;0.449327095798916;0.730223335411633;-0.0377185625676727;0.0167159269420465
Dab2;-0.0105133158691944;0.449145368481103;0.730223335411633;-0.0377227693190996;0.0167117153733585
Mief1;-0.0105383196394683;0.448067507544315;0.729861851555465;-0.037747740251869;0.016686715805958
Taf1a;-0.0106453024140819;0.443472324083901;0.723938604720747;-0.0378545821420363;0.0165797506296301
Zbtb7b;-0.0106678850044542;0.442505795725485;0.72392605801244;-0.0378771349141258;0.0165571716743592
Zfp985;-0.0106856165589886;0.441747735174798;0.723469718127923;-0.0378948430363082;0.0165394429545984
Stat1;-0.0107962660097769;0.437034064461414;0.718086438886546;-0.0380053458771589;0.0164288108068018
Rbm8a2;-0.0108461897511719;0.434916825240352;0.715386063303848;-0.038055203252005;0.0163788946540756
Ascl2;-0.0108909824496556;0.433022238635511;0.713046434394354;-0.0380999362896381;0.0163341086488141
Zfp202;-0.0109323197333808;0.431278047917699;0.710949620475683;-0.0381412184181355;0.0162927774450512
Zfp560;-0.0109506120014963;0.43050752306186;0.710455038058371;-0.0381594862497265;0.0162744878377003
Zfp580;-0.0109657480208831;0.429870553052708;0.710455038058371;-0.0381746020352511;0.0162593540062004
Barhl1;-0.0110154293626256;0.427783659498039;0.708282155528551;-0.0382242168753613;0.0162096797581459
Gm4924;-0.0110188816821954;0.427638862254391;0.708282155528551;-0.038227664568797;0.0162062279265174
Atf2;-0.0110260286874019;0.427339193130347;0.708282155528551;-0.0382348019949045;0.0161990819293862
Prdm5;-0.0110413339072442;0.426697867038579;0.708282155528551;-0.0382500866918907;0.0161837788589691
Mtf1;-0.0110981512324591;0.42432199360097;0.70564560609853;-0.0383068277190718;0.0161269694014698
Rela;-0.0111846946159621;0.420717990814121;0.701971454286544;-0.0383932545492754;0.0160404376641894
Rbm7;-0.0111850219324748;0.420704394273136;0.701971454286544;-0.0383935814241981;0.0160401103909499
Pgr;-0.0112124325731659;0.419566687254542;0.701600994190874;-0.0384209550639218;0.016012703353407
Zfp770;-0.0112445540686846;0.418235754924815;0.700150764896309;-0.0384530331474368;0.0159805860282204
Chd1;-0.0112600518107724;0.417594506222247;0.699853168030625;-0.0384685099243665;0.0159650902781119
Zfp952;-0.0112989475425779;0.41598767382995;0.697934874981362;-0.0385073529810029;0.0159261994881118
Gtf2a1l;-0.0113579751817052;0.413556149171353;0.694627124859559;-0.0385663005239257;0.0158671791912353
Zfp932;-0.0113706329302351;0.413035836049361;0.694525737677656;-0.0385789410721555;0.0158545229924569
Prdm6;-0.0113759803337071;0.412816140638326;0.694525737677656;-0.0385842812065573;0.015849176241073
Zfp729a;-0.0114164108984257;0.411157312231412;0.692910202532848;-0.0386246567611077;0.0158087505562621
Zfp831;-0.0114313412237354;0.410545736377295;0.692652583161694;-0.0386395667496289;0.0157938220105168
Barx2;-0.0114758165666321;0.408727142043382;0.690355687343967;-0.0386839814402905;0.01574935189676
Hoxb3;-0.0114927131062974;0.408037501977578;0.689962629323789;-0.0387008549095056;0.0157324573154548
Zfp382;-0.0114948168544371;0.407951685066211;0.689962629323789;-0.0387029557841119;0.0157303538100576
Zfp69;-0.0115009395652592;0.407701986246915;0.689962629323789;-0.0387090701304855;0.0157242318043377
Gm6710;-0.0115346289475888;0.406329682251927;0.689962629323789;-0.0387427134521285;0.0156905462652203
Gm14322;-0.0116260842311303;0.402618264226197;0.686154018024231;-0.0388340433854624;0.0155991011030982
Nr1d1;-0.0116358382804428;0.402223629952436;0.686154018024231;-0.0388437840388781;0.0155893481063958
Zfp493;-0.0116589692917764;0.401288711237385;0.685459223946213;-0.0388668832621563;0.0155662195705396
Tfam;-0.0117659165988595;0.396983053238617;0.681186829988991;-0.0389736832176526;0.0154592833301856
Gm14418;-0.0117733420740076;0.396685144334746;0.681186829988991;-0.0389810984389316;0.0154518586002908
Glis1;-0.0118085698440126;0.395273650244723;0.680573787764574;-0.0390162775219332;0.0154166343249903
Pml;-0.0118214978585946;0.394756417126198;0.680459120845388;-0.0390291876522652;0.0154037075759576
Heyl;-0.0118482751572707;0.393686394349651;0.680167569185324;-0.0390559278790915;0.015376932869618
Ugp2;-0.0119032571250146;0.391494821030805;0.677155990557293;-0.0391108336048584;0.0153219561023416
Zrsr1;-0.0119673644284364;0.388948881345744;0.6742971421723;-0.039174851804995;0.015257854654646
Satb2;-0.0119775291680099;0.388546128975987;0.6742971421723;-0.0391850023959959;0.015247690822991
Gm49527;-0.0120241611012101;0.386701711233838;0.67349432983056;-0.0392315693489921;0.0152010629828626
Ski;-0.0120258094248738;0.38663661349426;0.67349432983056;-0.0392332153736037;0.0151994148017121
Zscan26;-0.0120383732488463;0.386140646327012;0.67349432983056;-0.0392457616689283;0.0151868520591398
Esr1;-0.0120433063966888;0.3859460125174;0.67349432983056;-0.0392506879318542;0.0151819193335558
Purg;-0.0120601168471301;0.385283218139827;0.67349432983056;-0.0392674749109644;0.0151651103120725
Foxk2;-0.012127926646292;0.382616712707803;0.671023503122861;-0.0393351898758217;0.0150973061207943
Pou5f1;-0.0121934855307641;0.380049499591259;0.668073043518977;-0.0394006568363813;0.0150317524199952
Zfp78;-0.0122641437239238;0.377294484185284;0.664753317695171;-0.0394712156940558;0.0149610995516479
Isl1;-0.0123130427122936;0.375395101185302;0.662369617174506;-0.0395200457784644;0.0149122040891363
Zfp329;-0.012428998138991;0.370914701751592;0.656601640849829;-0.0396358372920023;0.0147962565029228
