Differentiable motif activity alpha cells;names;scores;logfoldchanges;pvals;pvals_adj;Motif_ID;direct_TF;TF_name
5682;M08900_2.00;-24.013573;-1.1656493;0;0;M08900_2.00;;['Zic1', 'Zic4', 'Zic2', 'Zic3']
5683;M08982_2.00;-24.018381;-0.8263806;0;0;M08982_2.00;Klf3;['Klf6', 'Klf4', 'Klf5', 'Klf7', 'Klf3', 'Klf8', 'Klf1', 'Klf2', 'Klf12']
5684;M08876_2.00;-24.018381;-0.8263806;0;0;M08876_2.00;;['Klf6', 'Klf4', 'Klf5', 'Klf7', 'Klf3', 'Klf8', 'Klf1', 'Klf2', 'Klf12']
5685;M09516_2.00;-24.077768;-1.2575859;0;0;M09516_2.00;Klf1;['Klf6', 'Klf4', 'Klf5', 'Klf7', 'Klf3', 'Klf1', 'Klf2', 'Klf12']
5686;M05593_2.00;-24.096773;-1.4342475;0;0;M05593_2.00;;['Rarg', 'Ppard', 'Nr2f6', 'Nr2c1', 'Rxrg', 'Rxra', 'Rarb', 'Nr5a2', 'Nr5a1', 'Rorc', 'Nr2f2', 'Rora', 'Rorb', 'Rara', 'Rxrb', 'Nr2f1']
5687;M06225_2.00;-24.12271;-1.2157842;0;0;M06225_2.00;;['Hoxc13', 'Cdx1', 'Cdx2', 'Cdx4', 'Hoxa13']
5688;M09016_2.00;-24.133585;-0.68201995;0;0;M09016_2.00;Sp5;['Sp1', 'Sp4', 'Sp3', 'Sp6', 'Sp8', 'Sp9', 'Sp5']
5689;M00221_2.00;-24.153324;-1.6394306;0;0;M00221_2.00;;['Snai2']
5690;M06050_2.00;-24.153324;-1.6394306;0;0;M06050_2.00;;['Snai2']
5691;M09150_2.00;-24.160341;-1.4308819;0;0;M09150_2.00;;['Pknox1', 'Meis1', 'Meis2', 'Pknox2', 'Meis3', 'Tgif1', 'Tgif2']
5692;M09175_2.00;-24.160341;-1.4308819;0;0;M09175_2.00;Pknox1;['Pknox1', 'Meis1', 'Meis2', 'Pknox2', 'Meis3', 'Tgif1', 'Tgif2']
5693;M04225_2.00;-24.296114;-2.2627058;0;0;M04225_2.00;;['Olig2', 'Olig3']
5694;M10137_2.00;-24.321619;-1.2077619;0;0;M10137_2.00;;['Patz1']
5695;M09397_2.00;-24.34651;-1.3058393;0;0;M09397_2.00;;['Sox9', 'Sox8', 'Sox17', 'Sox10', 'Sox30', 'Sox15', 'Sox5', 'Sox3', 'Sox18', 'Sox12', 'Sox6', 'Sox14', 'Sox21', 'Sox7', 'Sox11', 'Sry', 'Sox13', 'Sox2', 'Sox4', 'Sox1']
5696;M02206_2.00;-24.364103;-1.4178042;0;0;M02206_2.00;;['Nkx2-1', 'Hoxd12', 'Nkx2-5', 'Cdx1', 'Nkx2-2', 'Cdx2', 'Cdx4', 'Meox2', 'Nkx2-6', 'Nkx2-3', 'Nkx2-4', 'Nkx2-9']
5697;M03153_2.00;-24.364103;-1.4178042;0;0;M03153_2.00;;['Lhx2', 'Sebox', 'Phox2a', 'Phox2b', 'Alx3', 'Lhx9', 'Vsx2', 'Otp', 'Rax', 'Lhx4', 'Mixl1', 'Prrx1', 'Lmx1a', 'Lhx6', 'Lhx3', 'Shox2', 'Uncx', 'Nobox', 'Isx', 'Vsx1', 'Arx', 'Alx1', 'Lmx1b', 'En2', 'Prrx2', 'Alx4', 'Hesx1', 'Prrxl1', 'Prop1', 'En1', 'Lhx8']
5698;M08857_2.00;-24.430874;-0.77717566;0;0;M08857_2.00;;['Klf6', 'Klf4', 'Klf5', 'Klf7', 'Klf3', 'Klf1', 'Klf2', 'Klf12']
5699;M08962_2.00;-24.430874;-0.77717566;0;0;M08962_2.00;Klf6;['Klf6', 'Klf4', 'Klf5', 'Klf7', 'Klf3', 'Klf1', 'Klf2', 'Klf12']
5700;M08323_2.00;-24.474672;-0.781906;0;0;M08323_2.00;;['Klf15']
5701;M02933_2.00;-24.475826;-1.3173957;0;0;M02933_2.00;Hic1;['Hic1', 'Hic2']
5702;M08994_2.00;-24.47796;-1.0057315;0;0;M08994_2.00;Egr2;['Egr3', 'Egr2', 'Egr1', 'Egr4']
5703;M08363_2.00;-24.478607;-0.7480505;0;0;M08363_2.00;;['Sp1', 'Sp4', 'Sp3', 'Sp8', 'Sp9', 'Sp5']
