moscot driver genes Alpha;Alpha_pull_corr;Alpha_pull_pval;Alpha_pull_qval;Alpha_pull_ci_low;Alpha_pull_ci_high
Pnrc1;-0.0936678753759485;0.0000000000136;0.00000000015;-0.120580684049274;-0.0666174787216997
Polr3k;-0.0937151869879413;0.0000000000132;0.000000000146;-0.120627720386004;-0.0666649973435984
Hbp1;-0.0938553781076955;0.0000000000123;0.000000000137;-0.120767095115971;-0.0668058025840044
Snhg6;-0.0939213582023028;0.0000000000119;0.000000000132;-0.120832690614522;-0.0668720720836047
Srek1ip1;-0.0940341927947375;0.0000000000113;0.000000000125;-0.120944866952778;-0.0669854021494672
Apex1;-0.0940684797365274;0.0000000000111;0.000000000123;-0.12097895373533;-0.0670198397885683
Snn;-0.094111987586419;0.0000000000108;0.000000000121;-0.121022207505093;-0.0670635389561047
Cep120;-0.0943279439794307;0.00000000000972;0.000000000109;-0.121236901228698;-0.0672804465129064
Llgl1;-0.0944521224963468;0.00000000000913;0.000000000102;-0.121360352549649;-0.0674051731225722
Psmd10;-0.0945429646707898;0.00000000000872;0.0000000000977;-0.12145066222029;-0.0674964167869476
Arid2;-0.0946111796808399;0.00000000000843;0.0000000000945;-0.121518477070876;-0.0675649335803668
Fam53b;-0.0947304755850348;0.00000000000793;0.000000000089;-0.121637072563663;-0.0676847578631021
Prss8;-0.094842246915081;0.00000000000749;0.0000000000843;-0.121748186963581;-0.067797024952229
Prmt1;-0.094889571206241;0.00000000000732;0.0000000000823;-0.121795232905488;-0.0678445593555446
Sap30;-0.0949331384794824;0.00000000000716;0.0000000000806;-0.121838543820406;-0.0678883201689415
Dusp4;-0.0949498668952494;0.0000000000071;0.00000000008;-0.121855173775692;-0.067905122925482
Xrn2;-0.095037012893205;0.00000000000679;0.0000000000766;-0.121941806603475;-0.0679926564467983
Cdc73;-0.0950403592004276;0.00000000000678;0.0000000000765;-0.121945133197373;-0.067996017642778
Pebp1;-0.0951333298414363;0.00000000000646;0.0000000000731;-0.122037555900309;-0.0680894021844301
Mfge8;-0.0951850243612843;0.0000000000063;0.0000000000713;-0.122088945547988;-0.0681413270506958
Nsa2;-0.0951910014186525;0.00000000000628;0.0000000000711;-0.122094887345925;-0.0681473307507766
Zyx;-0.0952125943647365;0.00000000000621;0.0000000000704;-0.122116352896371;-0.0681690199636621
Actl6a;-0.0952507026863787;0.00000000000609;0.0000000000691;-0.122154236322352;-0.0682072982441839
Lhx1;-0.0953546329796826;0.00000000000577;0.0000000000657;-0.122257552874243;-0.0683116924597172
