moscot driver genes epsilon progenitors;Eps_progenitors_pull_corr;Eps_progenitors_pull_pval;Eps_progenitors_pull_qval;Eps_progenitors_pull_ci_low;Eps_progenitors_pull_ci_high
Gm973;-0.0129979922270132;0.34941345947495;0.697543076050141;-0.0402040164671418;0.0142272902765643
Ppp1r12a;-0.0129980789450785;0.349410244042838;0.697543076050141;-0.0402041030596687;0.0142272035614015
Gm33195;-0.012998087342073;0.349409932690417;0.697543076050141;-0.0402041114445072;0.014227195164688
Fscn2;-0.0130005900043571;0.349317144244873;0.697543076050141;-0.0402066104836048;0.0142246925859936
Naa30;-0.0130039137393638;0.349193937972077;0.697543076050141;-0.0402099294062048;0.0142213689614735
Rttn;-0.0130086349652768;0.349018976064034;0.697517494364776;-0.0402146437952644;0.0142166478914677
Gm49356;-0.0130127816152677;0.348865353037452;0.697349129174892;-0.0402187844394517;0.0142125013774088
Tdp1;-0.0130130930168581;0.348853818119713;0.697349129174892;-0.0402190953899857;0.0142121899859886
Nlgn3;-0.0130138827526302;0.348824565863803;0.697349129174892;-0.040219883981824;0.0142114002759855
Zfp365;-0.0130171892644927;0.348702107723385;0.69723080083183;-0.0402231857038302;0.0142080938716449
Them4;-0.0130180154120029;0.348671515245678;0.69723080083183;-0.0402240106544796;0.0142072677509066
Idua;-0.0130227410007713;0.348496558109624;0.697027789043655;-0.0402287293964547;0.01420254231456
AA388235;-0.0130267533670877;0.348348050643501;0.696800085779733;-0.0402327359483963;0.0141985300767059
Ttc30a1;-0.0130306414390258;0.34820418197819;0.696581617106932;-0.0402366183852418;0.0141946421284143
Msln;-0.0130325316040924;0.348134254648059;0.696511039131163;-0.0402385058105419;0.0141927520231604
Hsdl2;-0.0130337317749149;0.34808985853312;0.696511039131163;-0.0402397042416335;0.0141915518902154
Galk1;-0.0130480450545362;0.347560666240551;0.695640389629012;-0.0402539967671312;0.0141772390562752
Gm27016;-0.0130556291194237;0.347280474723109;0.695218022640775;-0.040261569830682;0.0141696552230154
Dda1;-0.0130567582809884;0.34723877040147;0.695203764702794;-0.0402626973540337;0.0141685260956689
Cfap299;-0.0130585403203983;0.347172959246445;0.695141235032998;-0.0402644768078797;0.0141667441101208
Uchl1os;-0.0130605740840724;0.347097861546978;0.695060096690797;-0.040266507620552;0.0141647104077056
Acot12;-0.0130644189086879;0.346955917789685;0.694914298627681;-0.0402703468656924;0.0141608656982843
Washc3;-0.0130648535535479;0.346939873835481;0.694914298627681;-0.0402707808797605;0.014160431066396
2700049A03Rik;-0.01306503413453;0.346933208226508;0.694914298627681;-0.0402709611986657;0.0141602504908002
Tdo2;-0.0130675006258218;0.3468421732054;0.694894180580841;-0.0402734241101662;0.0141577840729001
Xpa;-0.0130777405336421;0.346464393938106;0.694414128747532;-0.0402836491525567;0.0141475444662307
Gm50240;-0.0130861731481317;0.346153487589029;0.694067779872556;-0.0402920695210135;0.0141391120954527
Snhg11;-0.0130862409370345;0.34615098896554;0.694067779872556;-0.040292137211456;0.0141390443084935
Ppcdc;-0.013086488066517;0.346141880145176;0.694067779872556;-0.0402923839819924;0.0141387971860939
Guk1;-0.0130919423162238;0.345940883576956;0.693873390262497;-0.0402978303087634;0.014133343091865
Brsk1;-0.013095905852241;0.345794868494002;0.693694665336286;-0.0403017880862667;0.0141293796678151
Slc12a5;-0.0130966730151022;0.345766611056011;0.693694665336286;-0.0403025541344391;0.014128612526527
Hpse;-0.0130981250483982;0.345713131340501;0.693694665336286;-0.0403040040578412;0.0141271605339752
Gab3;-0.0130990596633413;0.345678711404118;0.693694665336286;-0.0403049373146705;0.0141262259451967
Ddx55;-0.0130997167638759;0.345654513056817;0.693694665336286;-0.0403055934603264;0.0141255688630294
Lpcat2;-0.0131008828380725;0.345611573930889;0.693694665336286;-0.0403067578399615;0.0141244028213687
2610027F03Rik;-0.013107633118325;0.345363070652838;0.693589791142259;-0.0403134983091241;0.0141176527280086
Itga2b;-0.0131105289542725;0.345256498919056;0.693521977423567;-0.0403163899354051;0.0141147569714762
Fzd4;-0.0131132959937984;0.34515468669849;0.693448397631396;-0.0403191529520694;0.0141119900074069
Gper1;-0.0131133492687184;0.345152726654827;0.693448397631396;-0.0403192061495316;0.0141119367339356
Gm26642;-0.0131166629430321;0.345030826829569;0.693338135921115;-0.0403225150057015;0.0141086231494267
Pbx3;-0.0131182509171686;0.344972419902998;0.693290068710383;-0.0403241006706827;0.0141070352181143
CAAA01147332.1;-0.013119363391594;0.344931505981353;0.693277151044106;-0.0403252115273199;0.0141059227736081
Col8a2;-0.0131207915805293;0.344878985434897;0.693277151044106;-0.0403266376392485;0.0141044946229841
Hnf4aos;-0.0131216707955576;0.34484665551613;0.693277151044106;-0.0403275155755845;0.0141036154314856
Pvr;-0.0131238195277531;0.344767651876531;0.693277151044106;-0.0403296611825799;0.014101466756618
4930570B17Rik;-0.0131251185082884;0.34471989712986;0.693277151044106;-0.0403309582737054;0.0141001678106173
Gm13856;-0.0131273656945333;0.344637293220126;0.693277151044106;-0.0403332021911278;0.014097920683899
D630024D03Rik;-0.0131307728847179;0.344512073018672;0.69319649723695;-0.040336604424591;0.0140945135834441
Gm10800;-0.0131324244862801;0.344451384215175;0.693143761449217;-0.0403382536232048;0.01409286202515
1700067K01Rik;-0.0131359714627338;0.344321072103153;0.692950897235928;-0.0403417954385898;0.0140893151411168
Gm31508;-0.0131366662918748;0.344295548509825;0.692950897235928;-0.0403424892566317;0.01408862033
Rad50;-0.013139452513662;0.344193212607226;0.692890629999332;-0.0403452714237103;0.0140858341802251
Gm38398;-0.0131407141324444;0.344146880649741;0.69287779085646;-0.0403465312063564;0.0140845725939112
Mrpl43;-0.0131443779193766;0.344012353515731;0.69267631637888;-0.0403501896605915;0.0140809089007774
Zdhhc12;-0.0131512375675761;0.343760570814612;0.692238681266769;-0.0403570393225082;0.0140740494262296
Eed;-0.0131517708589041;0.343741001338805;0.692238681266769;-0.0403575718373631;0.0140735161482944
Gm48682;-0.0131535106585376;0.34367716319205;0.692238681266769;-0.0403593091037375;0.014071776392246
Asic3;-0.0131544167790938;0.343643918075263;0.692238681266769;-0.0403602139048594;0.0140708702943244
Gm36169;-0.013156777450408;0.343557315849593;0.692176059383079;-0.0403625711385067;0.0140685096817691
Sap30bpos;-0.0131582390773507;0.343503702431993;0.692137409039827;-0.040364030636841;0.0140670480910552
Art1;-0.0131591320583115;0.343470949944135;0.692137409039827;-0.0403649223172713;0.0140661551321711
Nlrc5;-0.0131627573780997;0.343338002032757;0.692031270586007;-0.0403685423567272;0.0140625299015641
Orc5;-0.013164051198272;0.343290562951419;0.692031270586007;-0.0403698342922582;0.0140612361130459
Mpp4;-0.0131690218604536;0.343108348082514;0.69175680689026;-0.0403747977130859;0.0140562655716265
Slc46a3;-0.01317011964514;0.343068113747474;0.691745064259326;-0.040375893898318;0.0140551678134294
4930522L14Rik;-0.0131719835003291;0.342999809463633;0.691676714780561;-0.0403777550377505;0.0140533040030644
Srsf4;-0.0131722870565558;0.342988685929246;0.691676714780561;-0.0403780581516585;0.01405300045412
Nf1;-0.0131734174395548;0.342947266126929;0.691676714780561;-0.0403791868875063;0.0140518700981949
Plcxd1;-0.0131760367800685;0.342851299818702;0.691585358243566;-0.0403818024109498;0.0140492508201497
Slc25a46;-0.0131779884921595;0.342779804958824;0.691510528759382;-0.0403837512786388;0.0140472991543621
Mmgt2;-0.0131792605706616;0.342733211475059;0.691485924355994;-0.0403850215031176;0.0140460271059277
Slc30a6;-0.0131820848380509;0.342629779137383;0.691416025898296;-0.0403878416538916;0.0140432029049798
Gm36899;-0.0131864119928899;0.342471345680125;0.691235086567023;-0.0403921625006854;0.0140388758510952
Lpp;-0.0131870381500473;0.342448423583889;0.691235086567023;-0.0403927877449583;0.0140382497084618
5330439M10Rik;-0.0131905049908849;0.342321528687123;0.691102051037077;-0.0403962495310482;0.0140347829476532
Psmb9;-0.0131907385997089;0.342312979111003;0.691102051037077;-0.0403964827992407;0.0140345493441983
1700001K19Rik;-0.013199726886806;0.341984130968214;0.690806570021504;-0.0404054579780161;0.0140255612614252
Rit2;-0.0132072547497256;0.341708869838073;0.690319908587558;-0.0404129748590866;0.0140180335662453
Slc25a42;-0.0132167903967053;0.341360396312033;0.689754552926003;-0.0404224965907868;0.0140084981273132
Fkbp6;-0.0132196599910292;0.341255573528572;0.689612062187866;-0.0404253619965716;0.0140056285946285
Gm47270;-0.0132198291411665;0.341249395323151;0.689612062187866;-0.0404255308997987;0.0140054594481106
Gnb4;-0.013223285511159;0.341123167152532;0.689552441354183;-0.0404289822241523;0.0140020031517341
D17H6S53E;-0.0132255365423657;0.341040974561917;0.689524963453507;-0.040431229968935;0.0139997521681214
Gm16008;-0.0132263249311719;0.341012190877937;0.689524963453507;-0.040432017206657;0.0139989637959191
Gcgr;-0.0132282030649404;0.340943627411096;0.689524963453507;-0.0404338925981272;0.0139970857015685
Mageb18;-0.0132282654862882;0.340941348798418;0.689524963453507;-0.0404339549283291;0.0139970232815275
Plekho2;-0.0132301657401038;0.340871987091894;0.689524963453507;-0.0404358524073468;0.0139951230673923
Gm48597;-0.0132304078798364;0.340863149329397;0.689524963453507;-0.0404360941934868;0.0139948809327018
Sds;-0.0132337534461082;0.34074105584236;0.689403929710041;-0.0404394348739588;0.0139915354357686
Tmed1;-0.0132357756913048;0.340667269369107;0.689324017727948;-0.0404414541656129;0.0139895132321887
Nans;-0.0132376155173229;0.340600147786885;0.689324017727948;-0.0404432913043235;0.0139876734438396
Amd2;-0.0132504410074368;0.340132476253715;0.688786479964648;-0.0404560980560143;0.0139748482111959
Cab39;-0.013252107960394;0.340071722333809;0.688742880725023;-0.0404577625728472;0.0139731812910448
Gm38825;-0.0132615176589685;0.339728906007173;0.688187242791435;-0.0404671585170346;0.0139637717748176
Gm10399;-0.0132628683984071;0.339679713739703;0.688156936945405;-0.0404685072816693;0.0139624210611588
Fam189a1;-0.0132650045226481;0.339601928044405;0.688068691743266;-0.0404706402826583;0.0139602849774843
Mtln;-0.0132664557514764;0.339549088922888;0.688030978189378;-0.0404720893894866;0.0139588337760741
4833413G10Rik;-0.0132672971810314;0.339518454956289;0.688030978189378;-0.0404729295886433;0.0139579923623637
Gsdme;-0.0132717367265406;0.339356853544569;0.68778010150282;-0.040477362641695;0.0139535528998155
Gm31784;-0.0132743989084134;0.33925997260952;0.687722419014741;-0.0404800209298398;0.0139508907671754
Herc6;-0.0132750703907371;0.339235539125486;0.687722419014741;-0.0404806914299874;0.0139502192972088
Slc2a6;-0.0132830949871999;0.338943632389896;0.687358402293361;-0.0404887042869897;0.0139421948465197
Cops7b;-0.0132850244532056;0.338873469203613;0.687285447074278;-0.0404906309297907;0.0139402654150415
