moscot driver genes delta cells;Delta_pull_corr;Delta_pull_pval;Delta_pull_qval;Delta_pull_ci_low;Delta_pull_ci_high
Pip5k1b;0.146017520322827;3.43E-26;6.62E-24;0.11927133135332;0.172551938421105
Tmtc1;0.145519037049719;5.07E-26;9.70E-24;0.118769240894118;0.172057753973833
Sh3rf1;0.145116036367989;6.94E-26;1.32E-23;0.11836333396933;0.171658218928834
Ssbp2;0.144939872125008;7.96E-26;1.50E-23;0.118185902124659;0.171483566881882
Mboat4;0.144139861937214;1.48E-25;2.76E-23;0.117380156904542;0.170690402998581
Ccdc162;0.143627630550963;2.20E-25;4.07E-23;0.11686427198577;0.17018253710211
Rnf217;0.143604161713016;2.24E-25;4.10E-23;0.116840636100418;0.170159267939251
Itpr1;0.143495888588832;2.44E-25;4.42E-23;0.116731592698163;0.170051915629553
Rora;0.143221079438896;3.02E-25;5.41E-23;0.11645483139467;0.169779440778309
Olfm3;0.14244669789681;5.47E-25;9.72E-23;0.115674971261076;0.169011615186464
Stambpl1;0.142253509452204;6.34E-25;1.12E-22;0.115480421191633;0.168820057258673
Meg3;0.141487163151165;1.14E-24;1.99E-22;0.114708693787263;0.16806015917463
Gpx3;0.140068398609143;3.32E-24;5.71E-22;0.113280052319453;0.166653249090069
Slc16a10;0.139800109969942;4.07E-24;6.93E-22;0.113009908405259;0.166387189959888
Mylk;0.139661200911313;4.51E-24;7.62E-22;0.112870040316149;0.166249433730198
Scg2;0.138411333394844;1.15E-23;1.91E-21;0.111611591447958;0.165009892387589
Akr1c19;0.138198608698889;1.34E-23;2.21E-21;0.111397414784225;0.164798916816085
Fam155a;0.138002330372987;1.55E-23;2.52E-21;0.111199798954841;0.164604250225574
Frmd4a;0.136040176535853;6.58E-23;1.06E-20;0.109224390871494;0.162658094659789
Kctd12;0.135555992272413;9.36E-23;1.49E-20;0.108736968548564;0.162177826294384
Npnt;0.135550534235765;9.40E-23;1.49E-20;0.108731474083929;0.162172412328367
Cacnb2;0.135419442725337;1.03E-22;1.62E-20;0.108599508135848;0.162042378827923
Plekha1;0.13535780109202;1.08E-22;1.69E-20;0.108537455652652;0.161981234370712
St18;0.134861538865765;1.55E-22;2.40E-20;0.10803789338565;0.161488967343575
Pde10a;0.134747222280741;1.68E-22;2.58E-20;0.107922818538705;0.161375569195678
Sim1;0.134237185084455;2.43E-22;3.70E-20;0.107409407023248;0.160869621149948
Gm43016;0.133800908821261;3.33E-22;5.03E-20;0.106970255784339;0.160436831562099
Pkia;0.13335362411851;4.59E-22;6.88E-20;0.106520034430268;0.159993110880056
Gpr183;0.132908972031523;6.30E-22;9.38E-20;0.106072473882349;0.159551991165798
Znrf3;0.132225150722531;1.02E-21;1.51E-19;0.105384200929972;0.158873581456688
Gm28875;0.132145023368991;1.08E-21;1.59E-19;0.105303553634407;0.158794086564919
Scml4;0.131383397280673;1.86E-21;2.69E-19;0.10453700302317;0.158038454897316
Dpysl3;0.131042475192044;2.36E-21;3.39E-19;0.104193886934721;0.157700205940028
Pam;0.129934259154699;5.12E-21;7.30E-19;0.103078583139049;0.156600636079691
1500009L16Rik;0.129350101745189;7.69E-21;1.09E-18;0.102490716843164;0.156021009594009
Nrip1;0.127834675899914;2.18E-20;3.03E-18;0.100965756837659;0.154517252269121
Cxxc4;0.127451295646636;2.84E-20;3.91E-18;0.100579984592775;0.154136804383539
Exph5;0.127389714522619;2.96E-20;4.05E-18;0.100518020004055;0.154075693538609
Golim4;0.127320244523176;3.10E-20;4.22E-18;0.100448117666229;0.154006753818475
Tshz3;0.127038350573811;3.76E-20;5.07E-18;0.100164472105267;0.153727008959402
Rbpms;0.126935631399305;4.03E-20;5.41E-18;0.100061115747843;0.153625071827153
Ptprt;0.126561471787666;5.20E-20;6.88E-18;0.0996846400701974;0.153253756039295
Lima1;0.126542005277383;5.27E-20;6.92E-18;0.0996650532718705;0.153234437279173
