Differentiable motif activity delta cells;names;scores;logfoldchanges;pvals;pvals_adj;Motif_ID;direct_TF;TF_name
3700;M05660_2.00;-0.35814485;-0.061823748;0.720234909179039;0.767995167340912;M05660_2.00;;['Pparg', 'Rarg', 'Ppard', 'Nr2c2', 'Nr2c1', 'Rarb', 'Nr1d1', 'Nr1d2', 'Ppara', 'Rorc', 'Nr2f2', 'Rora', 'Rorb', 'Rara', 'Nr2f1']
3701;M05565_2.00;-0.35950065;-0.052222997;0.71922058702048;0.767321733251936;M05565_2.00;;['Pparg', 'Rarg', 'Nr1h3', 'Ppard', 'Nr2f6', 'Nr2c2', 'Nr2c1', 'Rxrg', 'Rxra', 'Rarb', 'Esr1', 'Nr1d1', 'Esr2', 'Nr1d2', 'Ppara', 'Nr4a1', 'Nr5a2', 'Rorc', 'Nr2f2', 'Rora', 'Rorb', 'Rara', 'Rxrb', 'Nr1h4', 'Nr1h5', 'Nr1h2', 'Nr6a1', 'Nr2f1']
3702;M04498_2.00;-0.36047232;-0.018348644;0.718493960090503;0.766682518804877;M04498_2.00;;['Zbtb7b']
3703;M09508_2.00;-0.36370364;-0.045111496;0.716079336625285;0.764377197455532;M09508_2.00;;['Zfp711']
3704;M08992_2.00;-0.36476567;-0.0060574496;0.715286337310555;0.763666258225755;M08992_2.00;Zfp57;['Zfp57']
3705;M03326_2.00;-0.36544356;-0.03518444;0.714780328080542;0.763261522208164;M03326_2.00;;['Hsfy2', 'Hsf5']
3706;M08970_2.00;-0.36955616;-0.04449207;0.711713232766302;0.760391433977001;M08970_2.00;Sp2;['Sp2']
3707;M08911_2.00;-0.36955616;-0.04449207;0.711713232766302;0.760391433977001;M08911_2.00;;['Sp2']
3708;M02531_2.00;-0.37030184;-0.057406858;0.711157608632181;0.760391433977001;M02531_2.00;;['Lin54']
3709;M09631_2.00;-0.37046;-0.030022759;0.711039768679609;0.760391433977001;M09631_2.00;;['Runx1', 'Runx2', 'Runx3']
3710;M03175_2.00;-0.37626734;-0.027486093;0.706718160419445;0.756263881986217;M03175_2.00;;['Hoxc13', 'Hoxd13', 'Hoxa13', 'Hoxb13']
3711;M09548_2.00;-0.38087705;-0.07669201;0.703294488143715;0.75353875854201;M09548_2.00;;['Foxa1', 'Foxa2', 'Foxa3']
3712;M03051_2.00;-0.39084214;-0.05368158;0.695913920910348;0.746162652942562;M03051_2.00;;['Foxp4', 'Foxo4', 'Foxo1', 'Foxo3', 'Foxo6']
3713;M02823_2.00;-0.3924917;-0.059986815;0.694694945336422;0.745121348538121;M02823_2.00;;['Mga']
3714;M10579_2.00;-0.39461577;-0.005896127;0.693126467987756;0.74383700543868;M10579_2.00;;['Gata6', 'Gata2', 'Gata3', 'Gata5', 'Gata4', 'Gata1']
3715;M08855_2.00;-0.39601678;-0.034570273;0.692092659241258;0.742860120056564;M08855_2.00;;['Prdm6']
3716;M07898_2.00;-0.3983668;0.004984815;0.690359816952261;0.741264763283502;M07898_2.00;;['Ctcf']
3717;M06159_2.00;-0.3984798;-0.034616187;0.690276548014658;0.741264763283502;M06159_2.00;;['Sp1', 'Sp4', 'Sp3', 'Sp8', 'Sp9', 'Sp5']
3718;M07913_2.00;-0.39868316;-0.028390266;0.690126673374559;0.741264763283502;M07913_2.00;;['Ctcf']
3719;M02150_2.00;-0.4010106;-0.041528698;0.688412307969037;0.739569778514789;M02150_2.00;;['Lhx2', 'Hoxa4', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Lhx9', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Dlx2', 'Rax', 'Msx3', 'Lhx4', 'Mixl1', 'Prrx1', 'Lhx3', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Alx1', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'En2', 'Prrx2', 'Alx4', 'Prrxl1', 'Hoxd1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Gsx1', 'Bsx', 'En1', 'Gbx1', 'Noto', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
3720;M08994_2.00;-0.40150774;-0.04752748;0.688046339852917;0.739380172363147;M08994_2.00;Egr2;['Egr3', 'Egr2', 'Egr1', 'Egr4']
3721;M03426_2.00;-0.4017111;-0.08056939;0.687896646671054;0.739380172363147;M03426_2.00;Hnf4a;['Rxrg', 'Hnf4g', 'Hnf4a', 'Nr2e1', 'Nr2f2', 'Rxrb', 'Nr6a1', 'Nr2f1']
3722;M09292_2.00;-0.40421933;-0.04290699;0.686051437851703;0.737692356023627;M09292_2.00;;['Pparg', 'Rarg', 'Nr1h3', 'Ppard', 'Nr2f6', 'Nr2c2', 'Nr2c1', 'Rxrg', 'Rxra', 'Rarb', 'Esr1', 'Nr1d1', 'Esr2', 'Nr1d2', 'Ppara', 'Nr4a1', 'Nr5a2', 'Rorc', 'Nr2f2', 'Rora', 'Rorb', 'Rara', 'Rxrb', 'Nr1h4', 'Nr1h5', 'Thra', 'Nr1h2', 'Nr6a1', 'Nr2f1']
3723;M02218_2.00;-0.409281;-0.054868598;0.682333477322494;0.734088288482554;M02218_2.00;;['Hoxd12', 'Hoxc12']
3724;M09624_2.00;-0.40948436;-0.0696087;0.682184255232886;0.734059064406974;M09624_2.00;;['Pax6', 'Pax9', 'Pax5', 'Pax8', 'Pax1']
