Thomas_ID;Progressive_ID;N Pole;N Hemi;S Hemi;S Pole;Plains;Crater;C_Floor;C_Peak;C_Ejecta;LRM_blue;LRM_Klima;Pits;Tectonics;C_Walls;HP 180;HP 0;Infill;Putative;_EL_mean;_EL_median;_EL_min;_EL_max;X;Y
7139;303;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;-342.370393900889;-353.5;-498.5;-129.5;-75.07;21.617
7140;304;0;0;1;0;0;1;1;1;0;1;1;0;0;1;0;0;0;0;-393.358064516129;-299.75;-1268.5;498.5;-72.696;-28.901
7142;305;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;0;1;1;462.551153715643;492.5;-16.5;923;-69.017;-27.076
7143;306;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;;1;927.647295742232;890;481;1578.5;-80.493;-28.283
7144;307;0;1;0;0;0;1;1;1;1;0;0;1;0;1;0;0;0;0;-797.292788879235;-861.5;-1472.5;-88.5;-93.578;25.168
7147;308;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;0;0;-969.360191637631;-929.75;-1630.5;-228.5;-67.97;8.382
7148;309;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;-1591.47058823529;-1591;-1623;-1571;-92.169;4.06
7150;310;0;0;1;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;-113.663338088445;-30;-907.5;925.5;-72.415;-18.989
7152;311;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;-224.225378787879;-225;-366;-107;-72.171;-17.94
7153;312;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;1;1;-406.398366606171;-232;-1555;167.5;-74.603;2
7154;313;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;-1005.88461538462;-1009.5;-1270;-805.5;-179.834;-17.771
7155;314;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;1;-591.349656357388;-534.25;-1062;-383;-66.965;-7.207
7156;315;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;571.9025;571.75;492.5;655.5;-72.148;8.25
7157;316;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;;1;732.693277310924;736;337;1029.5;-77.053;18.718
7159;317;0;0;1;0;0;1;1;1;1;1;1;1;0;1;0;0;0;0;-3560.26977703116;-3936.25;-4677.5;-2052;-90.878;-23.041
7161;318;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;0;1;0;-1228.04259207197;-1653;-2091.5;752;-68.635;-52.828
7167;319;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;;1;1033.00518672199;1066.25;529;1326;-179.648;22.671
7168;320;0;1;0;0;0;1;0;1;0;1;1;0;0;0;1;0;0;0;-1434.1338028169;-1428;-1550;-1308;-146.625;41.433
7169;321;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;-510.983333333333;-484.25;-739;-393;-100.03;16.449
7170;322;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;-2635.2890625;-2647.25;-2704.5;-2518;-70.781;57.383
8001;323;0;1;0;0;0;1;1;1;0;1;1;0;0;0;0;1;0;0;-883.451560818084;-1076.5;-1235;186.5;-33.596;30.581
8002;324;0;1;0;0;0;1;0;0;0;1;1;0;1;1;0;1;0;1;431.574284170719;272;-242.5;1846.5;-18.856;38.614
8003;325;0;1;0;0;0;1;1;1;0;1;0;0;0;1;0;1;0;0;-761.156451612903;-818;-1209;362;-38.811;37.842
8004;326;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;-1559.43869377696;-1558;-2512;-473.5;-33.114;58.816
8005;327;1;0;0;0;0;1;1;1;1;1;0;0;0;1;0;1;0;0;-651.081519021105;-499;-1975;1531.5;-39.992;59.939
8006;328;0;1;0;0;0;1;1;1;1;1;1;0;0;1;0;1;0;0;312.161012658228;67.5;-552.5;2203;-39.742;50.711
8007;329;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;1;0;1;-1876.59194876487;-2001.5;-2826.5;-722.5;-34.03;48.337
8009;330;0;1;0;0;0;1;1;0;1;1;0;0;0;1;0;1;0;0;210.824022346369;338.75;-982;1692;-41.529;46.565
8010;331;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;1466.34772727273;1489;1173.5;1713.5;-38.733;42.942
8011;332;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;1;0;0;1240.94353050086;1402.5;-848.5;2901.5;-37.877;45.42
8012;333;0;1;0;0;0;1;1;1;0;1;0;1;0;0;0;1;0;0;-117.943562610229;-136;-319.5;418;-41.902;36.617
8013;334;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;1;0;0;635.586956521739;657;347;879.5;-27.198;-31.434
8014;335;0;0;1;0;0;1;1;1;0;1;1;0;0;1;0;1;0;0;-863.296111665005;-957;-1091.5;89;-39.502;-33.521
8015;336;0;0;1;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;-2372.79633471646;-2372.5;-2876.5;-1565.5;-36.29;-47.666
8016;337;0;0;1;0;0;1;0;0;0;1;1;0;1;1;0;1;1;1;297.071092278719;428.75;-1726.5;1540;-38.31;-48.382
8017;338;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;1;1;0;-724.301426599172;-712.5;-911;-523.5;-30.52;-40.091
8018;339;0;0;1;0;0;1;0;0;1;1;0;0;1;1;0;1;0;0;136.864391513211;120.5;-369;529.5;-40.597;-52.596
8019;340;0;0;1;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;-558.81779263796;-362;-2754.5;486;-31.456;-57.395
8021;341;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;176.62854173504;132;-158;572.5;-37.684;54.467
8022;342;0;1;0;0;0;1;0;0;1;1;1;0;0;1;0;1;0;1;922.826585179526;852.5;238.5;1652;-43.764;44.367
8033;343;0;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0;-366.664555420219;-407.5;-621;221;-10.703;-37.133
8035;344;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;1516.04905660377;1547.5;1159.5;1694.5;-39.098;42.211
8036;345;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;1563.2008797654;1556.75;1243.5;1973.5;-40.784;43.737
8037;346;0;1;0;0;0;1;1;0;1;1;1;0;0;1;0;1;0;0;636.064600448096;594.5;133;1055;-41.339;44.528
8039;347;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;176.630514705882;149.25;34.5;376.5;-30.249;10.273
8040;348;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;171.888888888889;179;-129;442.5;-31.08;43.992
8042;349;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0;1;-1017.90984483681;-971;-1747;-714;-37.608;5.158
8043;350;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;1;777.539096217314;776.5;405.5;1590.5;-30.445;13.604
8044;351;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;36.4816176470588;-6;-79;755.5;-31.031;8.926
8045;352;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;1071.0890052356;1122;375;1384.5;-24.026;42.529
8046;353;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;1;0;0;-1065.66108786611;-1270;-1774;698.5;-29.528;-53.197
8046;354;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;40.1455929856945;171;-1056;628;-31.113;-53.785
8047;355;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;1;0;1;-912.203389830509;-915.5;-940;-866.5;-43.648;-4.614
8048;356;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;599.503267973856;554;461.5;929.5;-24.786;44.24
8049;357;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;1;1;1;1713.83923303835;1724.5;1506;1870;-21.095;-30.824
8052;358;0;0;1;0;0;1;0;0;0;1;1;0;1;1;0;1;1;1;1683.7569528416;1684.5;626;2321;-42.143;-30.732
8053;359;0;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1;0;0;-23.6964167219642;-25;-528;694.5;-14.024;-39.855
8054;360;0;0;1;0;0;1;0;0;1;1;1;0;0;1;0;1;0;1;-256.743455497382;-265;-301.5;-184.5;-38.53;-2.517
8055;361;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;726.417596566524;766.5;267.5;1121;-37.122;24.279
8056;362;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;-795.879487179487;-786.5;-1041.5;-592;-29.067;43.02
8056;363;0;1;0;0;0;1;0;0;0;1;1;0;1;1;0;1;0;1;383.323383084577;387.5;290;442;-29.818;44.052
8057;364;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;-1055.0261627907;-1056;-1268;-909.5;-38.036;0.731
8058;365;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;134.913793103448;133.5;122.5;153.5;-20.417;43.502
8060;366;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;284.443864229765;266.5;214;474;-21.277;1.567
8061;367;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;904.920454545455;904;854;974;-15.773;-6.733
8062;368;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;-1052.29613095238;-1061.75;-1162.5;-930;-34.216;3.738
8063;369;0;0;1;0;0;1;0;0;1;1;1;0;1;1;0;1;0;1;1280.96796338673;1298.5;1137;1364.5;-20.031;-37.339
8064;370;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;1336.9118705036;1365.75;1047;1402.5;-18.083;35.596
8065;371;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0;1;-928.961625282167;-1010.5;-1104;-98.5;-34.615;35.44
8161;372;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;487.4825;393;205.5;1260.5;-23.799;-0.047
8162;373;0;0;1;0;0;1;1;0;0;1;1;0;0;1;0;1;1;1;-1795.7626278277;-1873.5;-2199.5;-323;-42.485;-3.365
8164;374;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;-277.053333333333;-283;-403.5;-100.5;-34.974;-1.642
8165;375;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;1;1;1;185.973975773094;-296.25;-924;1964.5;-15.282;-16.136
