id;X;Y;Diameter;Delta elev;_min;_max;Degrad_class;1;2;3;4;5;Crater Unit;c1;c2;c3;Contact Unit;c1.1;c2.1;c3.1;icp;imp;sp;cfh (c1);cfh (c2);cfh (c3);cfs (c1);cfs (c2);cfs (c3);cre;bip;NF;OF;CMF
6013;123.479;55.683;5;163.5;-645;-481.5;;;;;;;;;;;cre;;;;;;;;;;;;;1;;;;
6017;130.552;-54.103;139;1739.5;-838.5;901;2;;1;;;;c2;;1;;icp, sp;;;;;;;;;;;;;;;;;
6021;101.173;21.974;11;117;-781;-664;;;;;;;;;;;sp;;;;;;1;;;;;;;;;;;
6022;107.162;-18.795;134;3395;-1997.5;1397.5;4;;;;1;;;;;;;;;;;;;;;;;;;;;;;
6023;143.142;43.894;7;86.5;-45.5;41;;;;;;;;;;;icp;;;;;;;;;;;;;;;;;
6027;148.477;50.701;9;181.5;-98.5;83;;;;;;;;;;;sp;;;;;;1;;;;;;;;;;;
6027;157.98;61.389;7;107.5;-350.5;-243;;;;;;;;;;;sp;;;;;;1;;;;;;;;;;;
6029;104.911;34.903;11;569;550;1119;;;;;;;;;;;sp;;;;;;1;;;;;;;;;;;
6030;-79.044;51.934;10;557;-1053;-496;;;;;;;;;;;sp;;;;;;1;;;;;;;;;;;
6031;-97.611;32.851;8;227.5;328;555.5;;;;;;;;;;;sp;;;;;;1;;;;;;;;;;;
6032;-143.077;35.623;23;1229.5;-438.5;791;;;;;;;c3;;;1;sp;;;;;;1;;;;;;;;;;;
6033;-176.455;32.222;14;485;-68.5;416.5;;;;;;;;;;;sp;;;;;;1;;;;;;;;;;;
6036;-69.977;43.332;13;215;-1043;-828;;;;;;;;;;;sp;;;;;;1;;;;;;;;;;;
6040;-78.772;34.717;16;1186.5;-596.5;590;;;;;;;;;;;sp;;;;;;1;;;;;;;;;;;
6043;-79.578;34.928;55;1641.5;-2519.5;-878;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6050;-169.656;64.367;82;1417.5;-33.5;1384;2;;1;;;;c1;1;;;cre;;;;;;;;;;;;;1;;;;
6052;-127.353;37.101;188;2949.5;-1197.5;1752;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;
6053;-66.169;33.47;100;3670.5;-316;3354.5;5;;;;;1;;;;;;;;;;;;;;;;;;;;;;
6054;-71.545;45.233;116;2793;-1182;1611;4;;;;1;;;;;;;;;;;;;;;;;;;;;;;
6055;-90.397;51.176;256;3828.5;-768.5;3060;4;;;;1;;c3;;;1;sp;;;;;;1;;;;;;;;;;;
6057;-136.57;53.265;13;170;-38;132;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6058;-101.369;40.602;7;87.5;617;704.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6058;-138.019;40.409;6;100;724.5;824.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6059;-151.053;65.998;39;2280;-347;1933;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;
6061;-163.645;47.445;12;699.5;61.5;761;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6063;-111.474;35.648;23;695;-262;433;;;;;;;c3;;;1;sp;;;;;;1;;;;;;;;;;;
6065;-111.801;41.336;52;2058.5;-646.5;1412;4;;;;1;;;;;;;;;;;;;;;;;;;;;;;
6068;-72.971;60.98;11;68.5;851.5;920;;;;;;;;;;;;;;;;;;;;;;;;;;;;
