INDIVIDUAL/CLOTH (PAÑO);SAMPLE #;DIAMAX (mm);DIAMAXPER (mm);DIAMINPER (mm);MAX THICKNESS (mm);WEIGHT (g);notes
 102 (UE 94  INVs: 89, 93, 90 y 88);8;6;4;2.2;2;0.068;
103 (UE 163  INV 16);13;6.2;2.5;2;1.8;0.0681;
PAÑO (UE 374  INV: 1);91;5;2.7;2.3;1.8;0.0681;
PAÑO (UE 175  INV: 24) ;30;5.1;3.3;2;1.8;0.0681;
 102 (UE 94  INVs: 89, 93, 90 y 88);100;6;2.5;2;1.3;0.0682;
101 y 102 (UE 94 y 95  INV 94 y 95);33;4.1;2;2;2.9;0.0683;
PAÑO (UE 374  INV: 1);75;5;2;2;1.4;0.0683;
104 (UE 104  INV: 3);69;5.2;2.5;2;1.1;0.0683;
PAÑO (UE 175  INV: 23) ;55;5;3.9;2;2.8;0.0683;
114 (UE 167  INV 6);52;6;1.1;1.1;1.1;0.0684;
PAÑO (UE 374  INV: 1);33;4.5;2;2;2;0.0684;
110 (UE 361  INV 15);74;5;2.5;2.1;1.8;0.0684;
108 (UE 95  INV 8);91;5.1;3.1;2.2;2.1;0.0684;
PAÑO (UE 175  INV: 23) ;18;5;4;3;2.2;0.0684;
PAÑO (UE 374  INV: 1);48;5;1.5;1.5;1.1;0.0685;
356 (UE 357);60;5.3;2.3;2.3;1.9;0.0685;
105 (UE 105  INV: 3);34;5.9;2.5;1.7;2;0.0685;
105 (UE 105  INV: 3);93;5;1.4;1.3;1.5;0.0687;
114 (UE 167  INV 6);26;5.5;2.1;1.5;1.2;0.0687;
PAÑO (UE 175  INV: 24) ;18;5.6;2.9;2;1.8;0.0688;
 102 (UE 94  INVs: 89, 93, 90 y 88);21;6;3;1.8;1.9;0.0688;
356 (UE 357);18;5;1.8;1.8;1;0.0689;
343 (UE 344  INV 1);76;5.9;2.9;2.2;1.2;0.0689;
PAÑO (UE 175  INV: 24) ;91;5;2.2;2.2;2;0.069;
105 (UE 105  INV: 3);46;6;2;1.6;1.5;0.0691;
PAÑO (UE 175  INV: 24) ;24;5.4;2.7;2.5;1.9;0.0693;
356 (UE 357);20;5.1;1.1;1.1;1;0.0694;
PAÑO (UE 374  INV: 1);86;5;1.8;1.2;1.2;0.0694;
PAÑO (UE 339  INV: 2);64;4.5;2.2;2;2;0.0694;
108 (UE 95  INV 8);69;5.3;3;1.8;1.9;0.0695;
356 (UE 357);100;5;1.9;1.6;1.7;0.0696;
PAÑO (UE 339  INV: 2);13;4.5;2.1;2.1;2;0.0696;
PAÑO (UE 175  INV: 23) ;97;5.1;2.5;2.8;1.4;0.0697;
103 (UE 163  INV 16);78;6;2.9;2.3;1.8;0.0699;
356 (UE 357);83;5.5;2.1;2;1.6;0.07;
343 (UE 344  INV 1);12;5.9;2.4;2.1;1.1;0.07;
108 (UE 95  INV 8);15;6.2;2.8;2.3;1.5;0.07;
105 (UE 105  INV: 3);82;5.1;2;1.6;1.1;0.0701;
PAÑO (UE 339  INV: 2);46;5.3;2.8;2.8;1.5;0.0702;
111 (UE 355 INV 1);31;5;2.8;2.2;2;0.0703;
101 y 102 (UE 94 y 95  INV 94 y 95);37;5.2;3;2.2;2;0.0703;
108 (UE 95  INV 8);44;5.5;2.1;1.9;1.4;0.0704;
108 (UE 95  INV 8);77;6;3.5;2;1.9;0.0704;
110 (UE 361  INV 15);13;6;3;3;1.5;0.0705;
105 (UE 105  INV: 3);52;6;3.1;2.5;2;0.0705;
356 (UE 357);82;5.2;2.9;2.8;1.8;0.0706;
101 y 102 (UE 94 y 95  INV 94 y 95);39;5.9;2.5;2.2;2.1;0.0707;
PAÑO (UE 175  INV: 24) ;94;6.2;2.5;2;1.5;0.0707;
101 y 102 (UE 94 y 95  INV 94 y 95);71;5;2.7;2.5;1.9;0.0707;
105 (UE 105  INV: 3);10;5.3;3;1.5;1.7;0.0707;
PAÑO (UE 339  INV: 2);34;4.9;2.8;2.7;2.2;0.0708;
103 (UE 163  INV 16);1;5.9;2.3;2.1;1.7;0.0709;
104 (UE 104  INV: 3);12;5.5;3;2;1.2;0.0709;
PAÑO (UE 175  INV: 23) ;52;5.1;4.1;2.1;2;0.071;
PAÑO (UE 175  INV: 23) ;14;5.2;2.8;2.5;1.9;0.0711;
111 (UE 355 INV 1);45;5.1;2.3;2;1.9;0.0712;
 102 (UE 94  INVs: 89, 93, 90 y 88);78;5.6;3;2.9;1.6;0.0712;
114 (UE 167  INV 6);92;6;2.2;2.1;1.2;0.0715;
PAÑO (UE 374  INV: 1);84;4.8;2;2;2.1;0.0716;
PAÑO (UE 339  INV: 2);55;5;2.1;2.1;2;0.0716;
343 (UE 344  INV 1);17;5.9;2.5;2.2;1.3;0.0716;
104 (UE 104  INV: 3);22;5.5;2.1;2;1.1;0.0718;
PAÑO (UE 339  INV: 2);83;5.1;3;2;1.9;0.0718;
103 (UE 163  INV 16);51;6;2.8;2;1.2;0.0719;
103 (UE 163  INV 16);44;5.9;3;2.7;1.5;0.0719;
PAÑO (UE 374  INV: 1);99;5.7;3;2.8;2;0.0719;
PAÑO (UE 374  INV: 1);76;5;2;1.9;1.2;0.072;
356 (UE 357);69;6;2.9;2.5;1.2;0.072;
111 (UE 355 INV 1);2;4.9;2.1;2.1;1.5;0.0721;
101 y 102 (UE 94 y 95  INV 94 y 95);81;4.8;3;3;2;0.0721;
103 (UE 163  INV 16);30;5.5;2.8;2.2;1.8;0.0722;
PAÑO (UE 339  INV: 2);92;5;3.1;2.8;2;0.0722;
 102 (UE 94  INVs: 89, 93, 90 y 88);82;5;3.4;2.2;2.2;0.0722;
114 (UE 167  INV 6);53;5.1;1.3;1;1.2;0.0723;
105 (UE 105  INV: 3);86;5;2.5;1.5;1.1;0.0724;
108 (UE 95  INV 8);63;6;2.8;2.7;1.2;0.0724;
PAÑO (UE 374  INV: 1);92;5.1;3.1;2.2;2;0.0724;
101 y 102 (UE 94 y 95  INV 94 y 95);86;4.5;2;1.9;2.4;0.0726;
PAÑO (UE 339  INV: 2);23;5;3;3;2;0.0726;
104 (UE 104  INV: 3);52;6;3.8;2.2;1.8;0.0726;
PAÑO (UE 175  INV: 24) ;82;5.8;2.5;2;2.5;0.0727;
103 (UE 163  INV 16);67;5.1;3;3;2;0.0727;
PAÑO (UE 175  INV: 24) ;14;5.8;2.3;2;1.2;0.0728;
105 (UE 105  INV: 3);85;5;3.2;1.2;1.5;0.0728;
343 (UE 344  INV 1);31;5;2;1.8;1.3;0.0729;
114 (UE 167  INV 6);8;6;2.8;1.9;1.8;0.0729;
114 (UE 167  INV 6);98;5.5;1.8;1.1;1.1;0.0731;
111 (UE 355 INV 1);29;5;2.9;2.4;2;0.0731;
PAÑO (UE 175  INV: 23) ;58;5;2.5;2;1.9;0.0732;
PAÑO (UE 175  INV: 24) ;32;4.5;2.5;1.8;2;0.0732;
114 (UE 167  INV 6);60;5.3;2.8;1.9;1.8;0.0732;
110 (UE 361  INV 15);35;5.2;3;2.7;2.2;0.0733;
111 (UE 355 INV 1);6;4.5;2.5;2.2;2.3;0.0734;
114 (UE 167  INV 6);47;6;2.2;1.8;1.2;0.0735;
104 (UE 104  INV: 3);64;6;2.5;1.8;1;0.0735;
356 (UE 357);81;5.4;3;2.8;1.9;0.0735;
PAÑO (UE 374  INV: 1);39;4.5;2.8;2.5;2.1;0.0736;
105 (UE 105  INV: 3);31;5.8;3;2.5;2.5;0.0736;
105 (UE 105  INV: 3);84;5;2.2;1.2;2;0.0737;
PAÑO (UE 339  INV: 2);50;5;2.4;2.1;1.9;0.0737;
110 (UE 361  INV 15);53;5.5;3;2.1;1.9;0.0738;
101 y 102 (UE 94 y 95  INV 94 y 95);22;5.8;2;1.9;1.5;0.0739;
111 (UE 355 INV 1);14;4.1;2.1;1.9;2;0.0739;
110 (UE 361  INV 15);73;5;2;1.9;2;0.074;
356 (UE 357);59;5.9;3;2.3;1.5;0.074;
 102 (UE 94  INVs: 89, 93, 90 y 88);47;6.2;2.9;1.7;1.3;0.0741;
 102 (UE 94  INVs: 89, 93, 90 y 88);99;6.2;4.2;2.7;2.5;0.0741;
PAÑO (UE 339  INV: 2);66;4.5;2.1;1.9;2.1;0.0742;
356 (UE 357);80;5.5;2.6;2.4;1.7;0.0742;
105 (UE 105  INV: 3);64;5.2;3;1.1;2;0.0742;
103 (UE 163  INV 16);72;6;4;2.1;1.9;0.0742;
101 y 102 (UE 94 y 95  INV 94 y 95);53;5;2.5;2;2;0.0743;
PAÑO (UE 374  INV: 1);95;5.1;3.2;2.2;2.3;0.0743;
111 (UE 355 INV 1);15;5;1.6;1.2;1.2;0.0745;
114 (UE 167  INV 6);99;6;3;1.8;1.1;0.0746;
343 (UE 344  INV 1);35;4.7;1.8;1.8;2;0.0747;
114 (UE 167  INV 6);37;5;2.7;1.8;2;0.0747;
104 (UE 104  INV: 3);57;6.2;3;2.1;1.8;0.0747;
114 (UE 167  INV 6);25;5.1;2;1.8;1.3;0.0748;
PAÑO (UE 374  INV: 1);46;4.6;2;1.8;2;0.0748;
103 (UE 163  INV 16);58;6;2.1;2;1.1;0.0748;
103 (UE 163  INV 16);20;6;2.9;1.9;1.8;0.0748;
343 (UE 344  INV 1);57;5.1;3;2.1;1.9;0.0748;
105 (UE 105  INV: 3);92;6;2;1.7;1.1;0.075;
PAÑO (UE 339  INV: 2);26;6.1;2.1;2;1.8;0.0751;
108 (UE 95  INV 8);22;4.9;4;2.8;2.7;0.0751;
 102 (UE 94  INVs: 89, 93, 90 y 88);58;5.9;2;1.8;1;0.0752;
101 y 102 (UE 94 y 95  INV 94 y 95);73;5.2;3.2;2;2;0.0752;
114 (UE 167  INV 6);75;5.8;2.5;2.1;1.8;0.0754;
111 (UE 355 INV 1);37;5;3;2.8;1.9;0.0754;
PAÑO (UE 175  INV: 23) ;43;4.8;2.5;2.3;2.1;0.0755;
105 (UE 105  INV: 3);21;6;2.5;1.5;1.1;0.0756;
343 (UE 344  INV 1);34;5;2;2;1.8;0.0757;
343 (UE 344  INV 1);89;5.1;2;2;2;0.0757;
103 (UE 163  INV 16);17;5.9;3;2;1.5;0.0757;
356 (UE 357);36;6;2.1;2;1.1;0.0758;
343 (UE 344  INV 1);50;5.4;2.2;2.1;1.2;0.0758;
103 (UE 163  INV 16);86;6;2.4;2.1;1.7;0.0758;
 102 (UE 94  INVs: 89, 93, 90 y 88);94;5.8;2.1;2;1.4;0.0759;
PAÑO (UE 175  INV: 23) ;95;5.1;3;2;1.5;0.0759;
PAÑO (UE 339  INV: 2);39;5.1;2.7;2.1;2.1;0.076;
 102 (UE 94  INVs: 89, 93, 90 y 88);75;5.3;2.2;2;1.7;0.0761;
110 (UE 361  INV 15);30;5.8;3;2.3;1.2;0.0762;
105 (UE 105  INV: 3);59;6;3.2;2.1;1.8;0.0762;
PAÑO (UE 175  INV: 24) ;7;5.9;1.2;1.2;1.2;0.0763;
356 (UE 357);48;5.5;3.2;2;1.5;0.0763;
 102 (UE 94  INVs: 89, 93, 90 y 88);84;5.4;2.5;1.9;2;0.0764;
 102 (UE 94  INVs: 89, 93, 90 y 88);83;4.9;2.8;2.5;2.4;0.0764;
PAÑO (UE 175  INV: 23) ;10;5.1;3.7;2.4;2.1;0.0765;
103 (UE 163  INV 16);68;6.1;2.1;2;1.5;0.0766;
101 y 102 (UE 94 y 95  INV 94 y 95);76;5.1;2.2;2.1;1.8;0.0766;
PAÑO (UE 339  INV: 2);84;5.2;3;2.8;2;0.0768;
356 (UE 357);19;4.5;2.1;2;2.1;0.077;
PAÑO (UE 175  INV: 23) ;16;5;2.8;2.2;2.3;0.077;
356 (UE 357);38;6;1.2;1.2;1;0.0771;
343 (UE 344  INV 1);37;5.1;1.4;1.3;1.3;0.0771;
 102 (UE 94  INVs: 89, 93, 90 y 88);46;5.1;2.2;2;1.8;0.0771;
103 (UE 163  INV 16);25;6;2.2;2.1;1.3;0.0772;
356 (UE 357);96;5;2.2;1.8;1.8;0.0772;
114 (UE 167  INV 6);11;5.8;2.3;2.3;1.6;0.0773;
108 (UE 95  INV 8);30;6.2;2.8;2;2;0.0773;
111 (UE 355 INV 1);60;4.4;2.8;2.2;2;0.0773;
114 (UE 167  INV 6);39;5;1.1;1.1;1.1;0.0774;
105 (UE 105  INV: 3);15;5.5;1.8;1.5;1.1;0.0774;
343 (UE 344  INV 1);65;5.3;2.7;2.3;1.2;0.0774;
343 (UE 344  INV 1);71;5.2;3;2.9;1.9;0.0774;
101 y 102 (UE 94 y 95  INV 94 y 95);28;5.1;2.1;2;1.9;0.0775;
111 (UE 355 INV 1);93;5.8;2.1;2;1.4;0.0775;
PAÑO (UE 175  INV: 24) ;41;6;1.8;1.7;1.3;0.0776;
343 (UE 344  INV 1);64;5;2.8;2.3;1.9;0.0776;
104 (UE 104  INV: 3);40;6;3.6;2.3;1.8;0.0776;
105 (UE 105  INV: 3);71;5.5;2;1.1;1.2;0.0777;
PAÑO (UE 339  INV: 2);21;5.2;2.2;2.1;1.8;0.0777;
114 (UE 167  INV 6);48;5.1;2.5;2;1.8;0.0778;
PAÑO (UE 175  INV: 24) ;27;6.8;2.8;2.2;1.4;0.0778;
108 (UE 95  INV 8);45;6;2.9;2.3;1.7;0.0778;
105 (UE 105  INV: 3);67;5.1;3;2;1.8;0.0778;
111 (UE 355 INV 1);40;6;2;2;1.9;0.0779;
356 (UE 357);21;5;2;2;1.5;0.0779;
108 (UE 95  INV 8);86;5.9;3;3;1.9;0.0779;
PAÑO (UE 339  INV: 2);3;4.9;2;2;2;0.078;
356 (UE 357);37;5;2;2;1.8;0.0781;
101 y 102 (UE 94 y 95  INV 94 y 95);49;5;2;2;2;0.0782;
111 (UE 355 INV 1);19;4.1;2;2;1.9;0.0782;
343 (UE 344  INV 1);14;5;2.9;2.4;2;0.0782;
108 (UE 95  INV 8);70;5.9;3.8;3.2;1.9;0.0782;
105 (UE 105  INV: 3);49;5.9;3;2;1.9;0.0783;
111 (UE 355 INV 1);7;5.1;2.1;2;1.2;0.0784;
101 y 102 (UE 94 y 95  INV 94 y 95);89;5;3.1;3;2;0.0784;
PAÑO (UE 175  INV: 23) ;27;5.1;2.1;2;2.1;0.0785;
 102 (UE 94  INVs: 89, 93, 90 y 88);79;5.7;2.5;2.1;2;0.0785;
108 (UE 95  INV 8);31;5.9;3;2.8;1.8;0.0785;
PAÑO (UE 374  INV: 1);1;5.5;1.2;1.2;1.2;0.0786;
PAÑO (UE 374  INV: 1);3;5.5;2;1.5;1.5;0.0786;
356 (UE 357);86;5.4;2.1;2.1;1.8;0.0786;
104 (UE 104  INV: 3);17;5.8;3;1.9;1.5;0.0786;
111 (UE 355 INV 1);33;6;3.4;2;1.9;0.0786;
 102 (UE 94  INVs: 89, 93, 90 y 88);95;4.9;2.2;2;2.3;0.0787;
103 (UE 163  INV 16);57;5.9;3.1;3;1.7;0.0787;
108 (UE 95  INV 8);40;5.8;3.3;2;2.1;0.0787;
 102 (UE 94  INVs: 89, 93, 90 y 88);35;5.7;2.3;2.1;2;0.0788;
108 (UE 95  INV 8);57;6;3;2.2;1.9;0.0789;
108 (UE 95  INV 8);24;5.5;2.1;2;1.7;0.079;
105 (UE 105  INV: 3);32;6;2.9;2.7;1.8;0.079;
PAÑO (UE 339  INV: 2);76;5.1;2.9;2.4;1.9;0.079;
PAÑO (UE 339  INV: 2);36;4.9;3;2.7;1.2;0.079;
 102 (UE 94  INVs: 89, 93, 90 y 88);77;6;2;1.8;2;0.0792;
PAÑO (UE 339  INV: 2);35;5.9;2.4;2;1.7;0.0792;
343 (UE 344  INV 1);7;4.9;2;1.5;2;0.0793;
114 (UE 167  INV 6);54;6.3;2.5;1.6;1.6;0.0793;
PAÑO (UE 339  INV: 2);51;5;2.8;2.5;2;0.0793;
114 (UE 167  INV 6);95;6;3.2;2.8;2.8;0.0794;
114 (UE 167  INV 6);2;5.6;2.7;2.2;2;0.0795;
PAÑO (UE 175  INV: 23) ;59;5.3;2.1;2;2;0.0796;
114 (UE 167  INV 6);90;6;2.8;1.8;1.2;0.0797;
PAÑO (UE 339  INV: 2);94;4.8;1.9;1.5;1.5;0.0798;
356 (UE 357);58;5.9;2.5;2;1.7;0.0798;
 102 (UE 94  INVs: 89, 93, 90 y 88);52;6.2;1.8;1.7;1;0.0799;
108 (UE 95  INV 8);49;6;2.1;1.8;1.1;0.08;
114 (UE 167  INV 6);100;5;2.5;2;2;0.0801;
111 (UE 355 INV 1);57;5;3;2.8;1.9;0.0801;
114 (UE 167  INV 6);85;6;3.9;2.9;1.2;0.0801;
114 (UE 167  INV 6);83;5.1;1.8;1.7;1.1;0.0802;
103 (UE 163  INV 16);16;5.9;2.9;1.9;1.9;0.0802;
108 (UE 95  INV 8);58;5.9;3.2;2.1;1.8;0.0802;
356 (UE 357);26;4.9;2;1.9;2;0.0803;
114 (UE 167  INV 6);71;5.9;3.5;2.2;2.1;0.0804;
356 (UE 357);39;6;1.5;1.5;1;0.0805;
343 (UE 344  INV 1);5;6.1;2;2;1.1;0.0805;
PAÑO (UE 339  INV: 2);72;4.8;2;2;2;0.0805;
108 (UE 95  INV 8);39;5.9;2.9;2;1.9;0.0805;
356 (UE 357);66;6;2.8;2.1;1.8;0.0806;
PAÑO (UE 175  INV: 23) ;1;5.1;3;2.5;2.3;0.0806;
108 (UE 95  INV 8);88;6;3;3;1.5;0.0808;
114 (UE 167  INV 6);31;5.5;1.7;0.8;1.1;0.0809;
 102 (UE 94  INVs: 89, 93, 90 y 88);28;6;1.8;1.7;1.9;0.0809;
103 (UE 163  INV 16);27;6;2.3;2.1;1.5;0.0809;
103 (UE 163  INV 16);65;6;3.3;3;1.5;0.0809;
111 (UE 355 INV 1);25;4.8;2.1;2;2.2;0.081;
114 (UE 167  INV 6);18;6;2.3;1.2;1.2;0.081;
PAÑO (UE 374  INV: 1);53;5.1;3;2.7;2;0.081;
PAÑO (UE 339  INV: 2);96;4.7;2.5;2.2;2.1;0.0811;
101 y 102 (UE 94 y 95  INV 94 y 95);64;5;3;2.5;2.1;0.0811;
105 (UE 105  INV: 3);8;5.1;2;1.9;2.8;0.0812;
105 (UE 105  INV: 3);79;5.1;2.8;1.8;1.5;0.0812;
PAÑO (UE 175  INV: 24) ;45;6;2.9;2;1.5;0.0814;
105 (UE 105  INV: 3);53;5.7;4;2.1;2.1;0.0814;
343 (UE 344  INV 1);94;4.5;2;2;1.8;0.0816;
PAÑO (UE 175  INV: 23) ;84;6;2;1.8;1.1;0.0816;
101 y 102 (UE 94 y 95  INV 94 y 95);90;5.1;2.2;2;1.9;0.0816;
 102 (UE 94  INVs: 89, 93, 90 y 88);90;5.5;3;2.1;2;0.0816;
105 (UE 105  INV: 3);23;5.1;2;1.8;1.2;0.0818;
PAÑO (UE 175  INV: 23) ;87;4.8;2.1;1.5;2.5;0.0818;
108 (UE 95  INV 8);27;5.8;2.9;2;1.8;0.0818;
PAÑO (UE 339  INV: 2);53;5;3;2.2;2.2;0.0818;
108 (UE 95  INV 8);66;5.9;3.2;2.1;2;0.0818;
114 (UE 167  INV 6);40;5.1;2;1.1;1.2;0.0819;
PAÑO (UE 339  INV: 2);2;5.1;2.5;2;1.5;0.0821;
356 (UE 357);53;5.8;3.1;2;1.8;0.0821;
356 (UE 357);87;6.1;3.5;2.9;1.8;0.0821;
104 (UE 104  INV: 3);3;6;2;2;1.5;0.0822;
343 (UE 344  INV 1);58;4.9;2.7;2.5;2.1;0.0822;
PAÑO (UE 374  INV: 1);68;6;3;3;1.7;0.0822;
PAÑO (UE 175  INV: 24) ;80;5.7;1.5;1.5;1.2;0.0823;
114 (UE 167  INV 6);84;6;1.8;1.2;1.2;0.0824;
104 (UE 104  INV: 3);18;6;2.2;2;1.1;0.0824;
103 (UE 163  INV 16);88;6;3;2.7;1.9;0.0824;
108 (UE 95  INV 8);94;6;2.3;2;1.9;0.0825;
114 (UE 167  INV 6);68;6;2.3;1.8;1.8;0.0825;
PAÑO (UE 175  INV: 24) ;40;5.1;2.6;2;1.8;0.0826;
 102 (UE 94  INVs: 89, 93, 90 y 88);71;4.8;2.5;1.7;3;0.0827;
108 (UE 95  INV 8);14;6;2.5;2.2;1.7;0.0827;
105 (UE 105  INV: 3);42;6;2.2;2;1.7;0.0829;
103 (UE 163  INV 16);4;5.9;3;2;1.9;0.0829;
103 (UE 163  INV 16);38;6;3;2.1;1.7;0.0829;
105 (UE 105  INV: 3);62;5.5;2;1.5;1.5;0.083;
105 (UE 105  INV: 3);87;5;2.1;1.9;1.5;0.083;
PAÑO (UE 175  INV: 23) ;20;5.2;2.3;2.1;2.1;0.083;
114 (UE 167  INV 6);57;5.8;2.8;2.2;2;0.0831;
114 (UE 167  INV 6);74;6;2.8;2.2;1.5;0.0832;
104 (UE 104  INV: 3);9;6;3.5;2.9;1.2;0.0832;
111 (UE 355 INV 1);49;5.3;2.1;2;1.8;0.0833;
101 y 102 (UE 94 y 95  INV 94 y 95);50;5.8;2.1;2.1;1.9;0.0835;
105 (UE 105  INV: 3);54;5.9;3;2;2;0.0835;
103 (UE 163  INV 16);96;5.9;3.1;3;2.1;0.0835;
111 (UE 355 INV 1);71;5;2.5;2.1;2;0.0836;
114 (UE 167  INV 6);62;5.4;2.5;2.5;1.8;0.0836;
PAÑO (UE 374  INV: 1);79;5.5;2;1.8;1.1;0.0837;
110 (UE 361  INV 15);66;6;2.2;2.1;1.1;0.0837;
343 (UE 344  INV 1);68;5.2;3;2.1;2.1;0.0837;
103 (UE 163  INV 16);95;6;3.2;2.5;1.9;0.0837;
 102 (UE 94  INVs: 89, 93, 90 y 88);3;6.3;2.2;2;1.2;0.0838;
108 (UE 95  INV 8);41;5.8;3;2.4;1.9;0.0838;
343 (UE 344  INV 1);62;5.2;2.1;2;1.9;0.0842;
104 (UE 104  INV: 3);50;6.2;2.2;1.9;1.4;0.0842;
PAÑO (UE 175  INV: 24) ;69;5.1;1.8;1.7;2.1;0.0845;
PAÑO (UE 374  INV: 1);67;5.8;2.8;2;2;0.0846;
PAÑO (UE 175  INV: 23) ;51;5.9;3.8;3;1.6;0.0846;
356 (UE 357);22;5.1;1.8;1.5;1.4;0.0847;
103 (UE 163  INV 16);32;5.8;2.9;2;1.8;0.0847;
114 (UE 167  INV 6);6;6.3;3.2;2;2;0.0848;
114 (UE 167  INV 6);19;5;3.3;1.3;1.3;0.0848;
356 (UE 357);50;5;2;1.9;1.9;0.0849;
111 (UE 355 INV 1);51;5.1;2.9;2.8;1.8;0.0849;
108 (UE 95  INV 8);28;5.6;3.1;2;2;0.085;
111 (UE 355 INV 1);16;5;2;2;1.5;0.0852;
103 (UE 163  INV 16);64;6;2.3;2;1.2;0.0852;
343 (UE 344  INV 1);32;5;2.1;1.8;1.9;0.0853;
104 (UE 104  INV: 3);21;5.8;2.5;1.8;1.1;0.0853;
PAÑO (UE 374  INV: 1);62;5.2;2.5;2.4;2.3;0.0853;
108 (UE 95  INV 8);2;5.8;2.8;2;1.8;0.0853;
343 (UE 344  INV 1);80;5.2;1.8;1.5;1.8;0.0854;
114 (UE 167  INV 6);36;6;3;2;1.8;0.0854;
114 (UE 167  INV 6);70;6.2;1.8;1.7;1.6;0.0855;
108 (UE 95  INV 8);96;5.9;2.5;2.5;1.8;0.0855;
356 (UE 357);30;5.5;1.5;1.5;1.1;0.0856;
PAÑO (UE 175  INV: 24) ;39;5.2;2.1;1.7;1.3;0.0856;
108 (UE 95  INV 8);59;6;2.9;2.1;1.7;0.0856;
105 (UE 105  INV: 3);72;5.5;1.8;1.8;1.5;0.0858;
105 (UE 105  INV: 3);73;5.5;2.2;1.6;1.6;0.0858;
PAÑO (UE 374  INV: 1);51;5.9;2.5;2.5;1.3;0.0858;
114 (UE 167  INV 6);72;6;4;1.7;2;0.0858;
 102 (UE 94  INVs: 89, 93, 90 y 88);74;5.9;2.3;1.9;1.3;0.0859;
PAÑO (UE 175  INV: 23) ;45;5.9;2.9;2.1;2;0.086;
PAÑO (UE 175  INV: 24) ;34;6;1.8;1.1;1.3;0.0861;
356 (UE 357);61;5.9;4;3;2;0.0862;
111 (UE 355 INV 1);10;6;2.1;1.3;1.2;0.0863;
108 (UE 95  INV 8);43;6;2.5;2.1;1.3;0.0863;
114 (UE 167  INV 6);73;6;2.9;1.9;1.8;0.0863;
103 (UE 163  INV 16);97;6.8;3;2.9;2.2;0.0863;
101 y 102 (UE 94 y 95  INV 94 y 95);83;5.5;3;2.8;1.9;0.0864;
 102 (UE 94  INVs: 89, 93, 90 y 88);7;5.9;3.1;2.9;1.9;0.0864;
104 (UE 104  INV: 3);29;6.1;4;2.8;2;0.0864;
105 (UE 105  INV: 3);58;6;3;2;1.9;0.0865;
343 (UE 344  INV 1);85;5;2;1.8;1.8;0.0866;
103 (UE 163  INV 16);6;6.2;2.4;2.1;1.2;0.0866;
PAÑO (UE 175  INV: 24) ;100;6;2.9;2.7;2;0.0866;
PAÑO (UE 175  INV: 24) ;90;6.7;3;2.1;1.9;0.0866;
343 (UE 344  INV 1);53;5.1;3;2.9;1.9;0.0867;
101 y 102 (UE 94 y 95  INV 94 y 95);17;5.9;2.2;2.1;1.7;0.0868;
 102 (UE 94  INVs: 89, 93, 90 y 88);37;5.9;2.4;1.8;1.8;0.087;
343 (UE 344  INV 1);19;4.5;3;3;2.9;0.087;
PAÑO (UE 175  INV: 24) ;21;6;3.5;2;2.1;0.087;
356 (UE 357);23;6;2;1.8;1.1;0.0871;
 102 (UE 94  INVs: 89, 93, 90 y 88);68;5.5;2.1;1.3;2;0.0872;
108 (UE 95  INV 8);75;6;2;2;1.9;0.0873;
111 (UE 355 INV 1);11;4.1;2.2;2.1;2.1;0.0873;
108 (UE 95  INV 8);42;5.8;3;2;1.8;0.0873;
 102 (UE 94  INVs: 89, 93, 90 y 88);61;6;1.9;1.8;1.7;0.0874;
108 (UE 95  INV 8);3;5.6;2.9;2.2;1.8;0.0874;
103 (UE 163  INV 16);74;5.9;3;2;2;0.0876;
PAÑO (UE 175  INV: 23) ;70;5.5;2.1;2;2;0.0877;
101 y 102 (UE 94 y 95  INV 94 y 95);60;5;2.1;2;1.9;0.0878;
114 (UE 167  INV 6);77;5.9;2.2;2;2;0.0878;
PAÑO (UE 175  INV: 23) ;73;5.2;2.7;2.1;2.1;0.0878;
104 (UE 104  INV: 3);6;6;3;2.5;2;0.0878;
103 (UE 163  INV 16);31;6.1;3.2;2.5;1.9;0.0878;
101 y 102 (UE 94 y 95  INV 94 y 95);92;5;1.9;1.8;2.1;0.0879;
111 (UE 355 INV 1);83;6.1;3;2.8;1.5;0.0879;
114 (UE 167  INV 6);80;6;2;1.7;1.3;0.088;
343 (UE 344  INV 1);10;5.8;3;2.9;1.8;0.088;
PAÑO (UE 175  INV: 23) ;69;4.9;2.5;2;2.7;0.0881;
PAÑO (UE 175  INV: 24) ;62;6.3;2.5;2;1.9;0.0881;
111 (UE 355 INV 1);63;6;3;2.1;2;0.0881;
PAÑO (UE 175  INV: 24) ;8;6;3.5;3;2;0.0881;
114 (UE 167  INV 6);43;6;2.1;1.5;1.2;0.0884;
343 (UE 344  INV 1);43;5.2;1.8;1.5;1.8;0.0885;
101 y 102 (UE 94 y 95  INV 94 y 95);20;5.5;2.1;2;1.9;0.0886;
PAÑO (UE 175  INV: 24) ;33;6;2.9;1.7;1.2;0.0886;
114 (UE 167  INV 6);59;6.2;3;3;1.8;0.0886;
114 (UE 167  INV 6);96;6;2;1.2;1.5;0.0887;
 102 (UE 94  INVs: 89, 93, 90 y 88);98;5.3;3;2.1;2.4;0.0887;
356 (UE 357);79;5.9;2.7;2;2;0.0888;
101 y 102 (UE 94 y 95  INV 94 y 95);58;5;2;2;2.1;0.0889;
114 (UE 167  INV 6);21;5.6;3;2;1.8;0.089;
