INDIVIDUAL/CLOTH (PAÑO);SAMPLE #;DIAMAX (mm);DIAMAXPER (mm);DIAMINPER (mm);MAX THICKNESS (mm);WEIGHT (g);notes
PAÑO (UE 175  INV: 23) ;83;4.5;2;1.8;1.1;0.0404;
PAÑO (UE 374  INV: 1);100;4.9;2.2;2;1.1;0.0405;
343 (UE 344  INV 1);6;4.5;3;2.9;1.9;0.0405;
103 (UE 163  INV 16);11;5;3.2;2.1;1.1;0.0406;
105 (UE 105  INV: 3);88;5;1.4;1.1;1.2;0.0407;
PAÑO (UE 374  INV: 1);78;4.5;1.8;1.8;1.1;0.0408;
111 (UE 355 INV 1);74;5;2;1.8;1;0.0408;
PAÑO (UE 339  INV: 2);24;4.9;2.4;2;1.3;0.0408;
111 (UE 355 INV 1);85;4.8;2.1;2;1;0.0409;
356 (UE 357);7;4.7;2.9;2.1;1.7;0.0409;
110 (UE 361  INV 15);25;5.9;3;2.5;1.2;0.0409;
PAÑO (UE 175  INV: 23) ;67;4.8;3;3;1.7;0.0409;
111 (UE 355 INV 1);23;5;2;2;1;0.0412;
101 y 102 (UE 94 y 95  INV 94 y 95);63;4.9;2.9;2.8;1.8;0.0412;
101 y 102 (UE 94 y 95  INV 94 y 95);29;5.1;2.2;2.1;1.7;0.0414;
111 (UE 355 INV 1);84;4.9;2.2;2;1.5;0.0414;
110 (UE 361  INV 15);4;6;2.9;2;0.9;0.0415;
103 (UE 163  INV 16);49;5.5;3;2.2;1.1;0.0415;
PAÑO (UE 175  INV: 23) ;6;4.8;3;2.3;1.3;0.0415;
110 (UE 361  INV 15);41;4.8;2.2;2.2;1.8;0.0416;
101 y 102 (UE 94 y 95  INV 94 y 95);11;4.9;2.4;2.2;1.5;0.0416;
110 (UE 361  INV 15);23;4.2;3;2;1.8;0.0416;
PAÑO (UE 374  INV: 1);34;4.5;1.5;1.2;1.1;0.0417;
101 y 102 (UE 94 y 95  INV 94 y 95);10;4.9;2;1.5;1.5;0.0417;
108 (UE 95  INV 8);81;4.9;2.1;2.1;1.1;0.0418;
PAÑO (UE 175  INV: 24) ;85;6;3;2.8;2.2;0.0418;
PAÑO (UE 374  INV: 1);81;4.8;1.8;1.1;1.1;0.0419;
356 (UE 357);71;5.1;2;1.7;1.5;0.0419;
103 (UE 163  INV 16);91;5.1;2.7;2.7;1.8;0.0419;
 102 (UE 94  INVs: 89, 93, 90 y 88);80;4.8;3.2;2.1;1.8;0.0419;
356 (UE 357);44;5.5;2;2;1;0.042;
 102 (UE 94  INVs: 89, 93, 90 y 88);67;4.2;1.2;1;1.2;0.0421;
PAÑO (UE 175  INV: 24) ;97;4.9;2.5;2.5;1.3;0.0421;
110 (UE 361  INV 15);15;5.1;3;2.4;1.5;0.0421;
